"Disease > Name","Disease > Identifier","Disease > Genes > Standard Name","Disease > Genes > Name","Disease > Genes > Primary DBID","Disease > Genes > Cross References > Identifier","Disease > Genes > Homologues > Homologue > Standard Name","Disease > Genes > Homologues > Homologue > Systematic Name","Disease > Genes > Homologues > Homologue > Name","Disease > Genes > Homologues > Data Sets > Data Source > Name"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","FLO9","YAL063C","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","SRP40","YKR092C","Serine Rich Protein","Ensembl"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","TDA8","YAL064C-A","Topoisomerase I Damage Affected","Panther"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","","YAR062W","","Panther"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","","YFL051C","","Panther"
"DENTINOGENESIS IMPERFECTA 1; DGI1 ","125490","DSPP","dentin sialophosphoprotein","1834","125485","","YHR213W","","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","DDR48","YMR173W","DNA Damage Responsive","HomoloGene"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","FLO1","YAR050W","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","FLO10","YKR102W","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","FLO11","YIR019C","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","FLO5","YHR211W","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","FLO9","YAL063C","FLOcculation","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","SRP40","YKR092C","Serine Rich Protein","Ensembl"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","TDA8","YAL064C-A","Topoisomerase I Damage Affected","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","","YAR062W","","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","","YFL051C","","Panther"
"DENTINOGENESIS IMPERFECTA, SHIELDS TYPE III ","125500","DSPP","dentin sialophosphoprotein","1834","125485","","YHR213W","","Panther"
"ACHONDROGENESIS, TYPE IB; ACG1B ","600972","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Ensembl"
"ACHONDROGENESIS, TYPE IB; ACG1B ","600972","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Panther"
"ACHONDROGENESIS, TYPE IB; ACG1B ","600972","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","TreeFam"
"ATELOSTEOGENESIS, TYPE II; AOII ","256050","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Ensembl"
"ATELOSTEOGENESIS, TYPE II; AOII ","256050","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Panther"
"ATELOSTEOGENESIS, TYPE II; AOII ","256050","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","TreeFam"
"DIASTROPHIC DYSPLASIA ","222600","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Ensembl"
"DIASTROPHIC DYSPLASIA ","222600","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Panther"
"DIASTROPHIC DYSPLASIA ","222600","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","TreeFam"
"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4; EDM4 ","226900","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Ensembl"
"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4; EDM4 ","226900","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","Panther"
"EPIPHYSEAL DYSPLASIA, MULTIPLE, 4; EDM4 ","226900","SLC26A2","solute carrier family 26 (anion exchanger), member 2","1836","606718","","YPR003C","","TreeFam"
"HYPOGONADOTROPIC HYPOGONADISM 19 WITH OR WITHOUT ANOSMIA; HH19 ","615269","DUSP6","dual specificity phosphatase 6","1848","602748","MSG5","YNL053W","Multicopy Suppressor of GPA1","Panther"
"HYPOGONADOTROPIC HYPOGONADISM 19 WITH OR WITHOUT ANOSMIA; HH19 ","615269","DUSP6","dual specificity phosphatase 6","1848","602748","SDP1","YIL113W","Stress-inducible Dual specificity Phosphatase","Panther"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 7; MRD7 ","614104","DYRK1A","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A","1859","600855","YAK1","YJL141C","Yet Another Kinase","Ensembl"
"MENTAL RETARDATION, AUTOSOMAL DOMINANT 7; MRD7 ","614104","DYRK1A","dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A","1859","600855","YAK1","YJL141C","Yet Another Kinase","TreeFam"
"HYPEROXALURIA, PRIMARY, TYPE I; HP1 ","259900","AGXT","alanine-glyoxylate aminotransferase","189","604285","AGX1","YFL030W","Alanine:Glyoxylate aminotrans(X)ferase","Ensembl"
"HYPEROXALURIA, PRIMARY, TYPE I; HP1 ","259900","AGXT","alanine-glyoxylate aminotransferase","189","604285","AGX1","YFL030W","Alanine:Glyoxylate aminotrans(X)ferase","HomoloGene"
"HYPEROXALURIA, PRIMARY, TYPE I; HP1 ","259900","AGXT","alanine-glyoxylate aminotransferase","189","604285","AGX1","YFL030W","Alanine:Glyoxylate aminotrans(X)ferase","Panther"
"HYPEROXALURIA, PRIMARY, TYPE I; HP1 ","259900","AGXT","alanine-glyoxylate aminotransferase","189","604285","AGX1","YFL030W","Alanine:Glyoxylate aminotrans(X)ferase","TreeFam"
"HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY ","613752","AHCY","adenosylhomocysteinase","191","180960","SAH1","YER043C","S-Adenosyl-l-Homocysteine hydrolase","Ensembl"
"HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY ","613752","AHCY","adenosylhomocysteinase","191","180960","SAH1","YER043C","S-Adenosyl-l-Homocysteine hydrolase","HomoloGene"
"HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY ","613752","AHCY","adenosylhomocysteinase","191","180960","SAH1","YER043C","S-Adenosyl-l-Homocysteine hydrolase","Panther"
"HYPERMETHIONINEMIA WITH S-ADENOSYLHOMOCYSTEINE HYDROLASE DEFICIENCY ","613752","AHCY","adenosylhomocysteinase","191","180960","SAH1","YER043C","S-Adenosyl-l-Homocysteine hydrolase","TreeFam"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT1","YOR133W","Elongation Factor Two","Ensembl"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT1","YOR133W","Elongation Factor Two","HomoloGene"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT1","YOR133W","Elongation Factor Two","Panther"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT1","YOR133W","Elongation Factor Two","TreeFam"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT2","YDR385W","Elongation Factor Two","HomoloGene"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT2","YDR385W","Elongation Factor Two","Panther"
"SPINOCEREBELLAR ATAXIA 26; SCA26 ","609306","EEF2","eukaryotic translation elongation factor 2","1938","130610","EFT2","YDR385W","Elongation Factor Two","TreeFam"
"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D; CMT1D ","607678","EGR2","early growth response 2","1959","129010","ADR1","YDR216W","Alcohol Dehydrogenase Regulator","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D; CMT1D ","607678","EGR2","early growth response 2","1959","129010","FZF1","YGL254W","Five Zinc Fingers","Ensembl"
"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D; CMT1D ","607678","EGR2","early growth response 2","1959","129010","MIG1","YGL035C","Multicopy Inhibitor of GAL gene expression","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D; CMT1D ","607678","EGR2","early growth response 2","1959","129010","STP3","YLR375W","protein with similarity to Stp1p","Panther"
"CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D; CMT1D ","607678","EGR2","early growth response 2","1959","129010","STP4","YDL048C","protein with similarity to Stp1p","Panther"
"HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS ","145900","EGR2","early growth response 2","1959","129010","ADR1","YDR216W","Alcohol Dehydrogenase Regulator","Panther"
"HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS ","145900","EGR2","early growth response 2","1959","129010","FZF1","YGL254W","Five Zinc Fingers","Ensembl"
"HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS ","145900","EGR2","early growth response 2","1959","129010","MIG1","YGL035C","Multicopy Inhibitor of GAL gene expression","Panther"
"HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS ","145900","EGR2","early growth response 2","1959","129010","STP3","YLR375W","protein with similarity to Stp1p","Panther"
"HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS ","145900","EGR2","early growth response 2","1959","129010","STP4","YDL048C","protein with similarity to Stp1p","Panther"
"NEUROPATHY, CONGENITAL HYPOMYELINATING OR AMYELINATING, AUTOSOMAL RECESSIVE; CHN ","605253","EGR2","early growth response 2","1959","129010","ADR1","YDR216W","Alcohol Dehydrogenase Regulator","Panther"
"NEUROPATHY, CONGENITAL HYPOMYELINATING OR AMYELINATING, AUTOSOMAL RECESSIVE; CHN ","605253","EGR2","early growth response 2","1959","129010","FZF1","YGL254W","Five Zinc Fingers","Ensembl"
"NEUROPATHY, CONGENITAL HYPOMYELINATING OR AMYELINATING, AUTOSOMAL RECESSIVE; CHN ","605253","EGR2","early growth response 2","1959","129010","MIG1","YGL035C","Multicopy Inhibitor of GAL gene expression","Panther"
"NEUROPATHY, CONGENITAL HYPOMYELINATING OR AMYELINATING, AUTOSOMAL RECESSIVE; CHN ","605253","EGR2","early growth response 2","1959","129010","STP3","YLR375W","protein with similarity to Stp1p","Panther"
"NEUROPATHY, CONGENITAL HYPOMYELINATING OR AMYELINATING, AUTOSOMAL RECESSIVE; CHN ","605253","EGR2","early growth response 2","1959","129010","STP4","YDL048C","protein with similarity to Stp1p","Panther"
"SCOTT SYNDROME; SCTS ","262890","ANO6","anoctamin 6","196527","608663","IST2","YBR086C","Increased Sodium Tolerance","Panther"
"LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM ","603896","EIF2B1","eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa","1967","606686","GCN3","YKR026C","General Control Nonderepressible","HomoloGene"
"LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER; VWM ","603896","EIF2B1","eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa","1967","606686","GCN3","YKR026C","General Control Nonderepressible","TreeFam"
"JOHANSON-BLIZZARD SYNDROME; JBS ","243800","UBR1","ubiquitin protein ligase E3 component n-recognin 1","197131","605981","UBR1","YGR184C","","Ensembl"
"JOHANSON-BLIZZARD SYNDROME; JBS ","243800","UBR1","ubiquitin protein ligase E3 component n-recognin 1","197131","605981","UBR1","YGR184C","","Panther"
"JOHANSON-BLIZZARD SYNDROME; JBS ","243800","UBR1","ubiquitin protein ligase E3 component n-recognin 1","197131","605981","UBR2","YLR024C","","Ensembl"
"JOHANSON-BLIZZARD SYNDROME; JBS ","243800","UBR1","ubiquitin protein ligase E3 component n-recognin 1","197131","605981","UBR2","YLR024C","","Panther"
"COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA ","614265","ACSF3","acyl-CoA synthetase family member 3","197322","614245","ACS1","YAL054C","Acetyl CoA Synthetase","Panther"
"COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA ","614265","ACSF3","acyl-CoA synthetase family member 3","197322","614245","ACS2","YLR153C","Acetyl CoA Synthetase","Panther"
"COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA ","614265","ACSF3","acyl-CoA synthetase family member 3","197322","614245","LYS2","YBR115C","LYSine requiring","Panther"
"COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA ","614265","ACSF3","acyl-CoA synthetase family member 3","197322","614245","PCS60","YBR222C","Peroxisomal CoA-dependent Synthetase","Ensembl"
"COMBINED MALONIC AND METHYLMALONIC ACIDURIA; CMAMMA ","614265","ACSF3","acyl-CoA synthetase family member 3","197322","614245","PCS60","YBR222C","Peroxisomal CoA-dependent Synthetase","Panther"
"PARKINSON DISEASE 18; PARK18 ","614251","EIF4G1","eukaryotic translation initiation factor 4 gamma, 1","1981","600495","TIF4631","YGR162W","Translation Initiation Factor","Ensembl"
"PARKINSON DISEASE 18; PARK18 ","614251","EIF4G1","eukaryotic translation initiation factor 4 gamma, 1","1981","600495","TIF4631","YGR162W","Translation Initiation Factor","Panther"
"PARKINSON DISEASE 18; PARK18 ","614251","EIF4G1","eukaryotic translation initiation factor 4 gamma, 1","1981","600495","TIF4632","YGL049C","Translation Initiation Factor","Ensembl"
"PARKINSON DISEASE 18; PARK18 ","614251","EIF4G1","eukaryotic translation initiation factor 4 gamma, 1","1981","600495","TIF4632","YGL049C","Translation Initiation Factor","Panther"
"HYDATIDIFORM MOLE, RECURRENT, 1; HYDM1 ","231090","NLRP7","NLR family, pyrin domain containing 7","199713","609661","HER1","YOR227W","Hmg2p ER Remodeling","Panther"
"HYDATIDIFORM MOLE, RECURRENT, 1; HYDM1 ","231090","NLRP7","NLR family, pyrin domain containing 7","199713","609661","MHP1","YJL042W","MAP-Homologous Protein","Panther"
"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3; MMDS3 ","615330","IBA57","IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)","200205","615316","IBA57","YJR122W","Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins","Ensembl"
"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3; MMDS3 ","615330","IBA57","IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)","200205","615316","IBA57","YJR122W","Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins","Panther"
"MULTIPLE MITOCHONDRIAL DYSFUNCTIONS SYNDROME 3; MMDS3 ","615330","IBA57","IBA57, iron-sulfur cluster assembly homolog (S. cerevisiae)","200205","615316","IBA57","YJR122W","Iron-sulfur cluster assembly factor for Biotin synthase and Aconitase-like mitochondrial proteins","TreeFam"
"CORNEAL DYSTROPHY, FLECK ","121850","PIKFYVE","phosphoinositide kinase, FYVE finger containing","200576","609414","FAB1","YFR019W","Forms Aploid and Binucleate cells","Ensembl"
"CORNEAL DYSTROPHY, FLECK ","121850","PIKFYVE","phosphoinositide kinase, FYVE finger containing","200576","609414","FAB1","YFR019W","Forms Aploid and Binucleate cells","Panther"
"CORNEAL DYSTROPHY, FLECK ","121850","PIKFYVE","phosphoinositide kinase, FYVE finger containing","200576","609414","FAB1","YFR019W","Forms Aploid and Binucleate cells","TreeFam"
"JOUBERT SYNDROME 8; JBTS8 ","612291","ARL13B","ADP-ribosylation factor-like 13B","200894","608922","ARL3","YPL051W","ADP-Ribosylation factor-Like","Ensembl"
"BIRT-HOGG-DUBE SYNDROME; BHD ","135150","FLCN","folliculin","201163","607273","LST7","YGR057C","Lethal with Sec Thirteen","Panther"
"COLORECTAL CANCER; CRC ","114500","FLCN","folliculin","201163","607273","LST7","YGR057C","Lethal with Sec Thirteen","Panther"
"PNEUMOTHORAX, PRIMARY SPONTANEOUS ","173600","FLCN","folliculin","201163","607273","LST7","YGR057C","Lethal with Sec Thirteen","Panther"
"RENAL CELL CARCINOMA, NONPAPILLARY; RCC ","144700","FLCN","folliculin","201163","607273","LST7","YGR057C","Lethal with Sec Thirteen","Panther"
"HEMOPHAGOCYTIC LYMPHOHISTIOCYTOSIS, FAMILIAL, 3; FHL3 ","608898","UNC13D","unc-13 homolog D (C. elegans)","201294","608897","","YOR296W","","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO1","YGR254W","ENOlase","Ensembl"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO1","YGR254W","ENOlase","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO1","YGR254W","ENOlase","TreeFam"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO2","YHR174W","ENOlase","Ensembl"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO2","YHR174W","ENOlase","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ENO2","YHR174W","ENOlase","TreeFam"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR1","YOR393W","Enolase-Related Repeat","Ensembl"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR1","YOR393W","Enolase-Related Repeat","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR1","YOR393W","Enolase-Related Repeat","TreeFam"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR2","YPL281C","Enolase-Related Repeat","Ensembl"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR2","YPL281C","Enolase-Related Repeat","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR2","YPL281C","Enolase-Related Repeat","TreeFam"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR3","YMR323W","Enolase-Related Repeat","Ensembl"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR3","YMR323W","Enolase-Related Repeat","Panther"
"GLYCOGEN STORAGE DISEASE XIII; GSD13 ","612932","ENO3","enolase 3 (beta, muscle)","2027","131370","ERR3","YMR323W","Enolase-Related Repeat","TreeFam"
"ADENYLATE KINASE DEFICIENCY, HEMOLYTIC ANEMIA DUE TO ","612631","AK1","adenylate kinase 1","203","103000","URA6","YKL024C","URAcil requiring","Ensembl"
"NEPHRONOPHTHISIS 16; NPHP16 ","615382","ANKS6","ankyrin repeat and sterile alpha motif domain containing 6","203286","615370","","YLL032C","","Panther"
"COLORECTAL CANCER; CRC ","114500","EP300","E1A binding protein p300","2033","602700","BDF1","YLR399C","BromoDomain Factor","Ensembl"
"COLORECTAL CANCER; CRC ","114500","EP300","E1A binding protein p300","2033","602700","BDF2","YDL070W","BromoDomain Factor","Ensembl"
"RUBINSTEIN-TAYBI SYNDROME 2; RSTS2 ","613684","EP300","E1A binding protein p300","2033","602700","BDF1","YLR399C","BromoDomain Factor","Ensembl"
"RUBINSTEIN-TAYBI SYNDROME 2; RSTS2 ","613684","EP300","E1A binding protein p300","2033","602700","BDF2","YDL070W","BromoDomain Factor","Ensembl"
"GNATHODIAPHYSEAL DYSPLASIA; GDD ","166260","ANO5","anoctamin 5","203859","608662","IST2","YBR086C","Increased Sodium Tolerance","Panther"
"MIYOSHI MUSCULAR DYSTROPHY 3; MMD3 ","613319","ANO5","anoctamin 5","203859","608662","IST2","YBR086C","Increased Sodium Tolerance","Panther"
"MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2L; LGMD2L ","611307","ANO5","anoctamin 5","203859","608662","IST2","YBR086C","Increased Sodium Tolerance","Panther"
"RETICULAR DYSGENESIS ","267500","AK2","adenylate kinase 2","204","103020","ADK1","YDR226W","ADenylate Kinase","Ensembl"
"RETICULAR DYSGENESIS ","267500","AK2","adenylate kinase 2","204","103020","ADK1","YDR226W","ADenylate Kinase","HomoloGene"
"RETICULAR DYSGENESIS ","267500","AK2","adenylate kinase 2","204","103020","ADK1","YDR226W","ADenylate Kinase","Panther"
"RETICULAR DYSGENESIS ","267500","AK2","adenylate kinase 2","204","103020","ADK1","YDR226W","ADenylate Kinase","TreeFam"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAC1","YKL008C","Longevity-Assurance gene Cognate (LAG1 Cognate)","Ensembl"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAC1","YKL008C","Longevity-Assurance gene Cognate (LAG1 Cognate)","Panther"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAC1","YKL008C","Longevity-Assurance gene Cognate (LAG1 Cognate)","TreeFam"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAG1","YHL003C","Longevity Assurance Gene","Ensembl"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAG1","YHL003C","Longevity Assurance Gene","Panther"
"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 9; ARCI9 ","615023","CERS3","ceramide synthase 3","204219","615276","LAG1","YHL003C","Longevity Assurance Gene","TreeFam"
"CEROID LIPOFUSCINOSIS, NEURONAL, 8; CLN8 ","600143","CLN8","ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","2055","607837","TDA4","YJR116W","Topoisomerase I Damage Affected","Panther"
"CEROID LIPOFUSCINOSIS, NEURONAL, 8; CLN8 ","600143","CLN8","ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","2055","607837","","YPR114W","","Panther"
"CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORTHERN EPILEPSY VARIANT ","610003","CLN8","ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","2055","607837","TDA4","YJR116W","Topoisomerase I Damage Affected","Panther"
"CEROID LIPOFUSCINOSIS, NEURONAL, 8, NORTHERN EPILEPSY VARIANT ","610003","CLN8","ceroid-lipofuscinosis, neuronal 8 (epilepsy, progressive with mental retardation)","2055","607837","","YPR114W","","Panther"
"CEREBROOCULOFACIOSKELETAL SYNDROME 4; COFS4 ","610758","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)","2067","126380","RAD10","YML095C","RADiation sensitive","Ensembl"
"CEREBROOCULOFACIOSKELETAL SYNDROME 4; COFS4 ","610758","ERCC1","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)","2067","126380","RAD10","YML095C","RADiation sensitive","Panther"
"CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2 ","610756","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Ensembl"
"CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2 ","610756","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","HomoloGene"
"CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2 ","610756","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Panther"
"CEREBROOCULOFACIOSKELETAL SYNDROME 2; COFS2 ","610756","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","TreeFam"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Ensembl"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","HomoloGene"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Panther"
"TRICHOTHIODYSTROPHY, PHOTOSENSITIVE; TTDP ICHTHYOSIFORM ERYTHRODERMA WITH HAIR ABNORMALITY AND MENTAL AND GROWTH RETARDATION, INCLUDED","601675","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","TreeFam"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD ","278730","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Ensembl"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD ","278730","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","HomoloGene"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD ","278730","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","Panther"
"XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D; XPD ","278730","ERCC2","excision repair cross-complementing rodent repair deficiency, complementation group 2","2068","126340","RAD3","YER171W","RADiation sensitive","TreeFam"
