Ensembl Gene ID,Human Ensembl Gene ID,% Identity with respect to query gene,"Orthology confidence [0 low, 1 high]",Human Chromosome Name,Human Chromosome Start (bp),Human Chromosome End (bp)
YFR035C,,,,,,
YDR042C,,,,,,
YJR068W,ENSG00000163918,50,1,3,186789880,186807058
YDL168W,ENSG00000187758,45,1,4,99276367,99291028
YDL168W,ENSG00000198099,46,1,4,99123657,99157792
YDL168W,ENSG00000196344,45,1,4,99412261,99435737
YDL168W,ENSG00000196616,46,1,4,99304964,99321442
YDL168W,ENSG00000197894,61,1,4,99070978,99088801
YDL168W,ENSG00000248144,46,1,4,99336492,99353027
YDL168W,ENSG00000172955,42,1,4,99202638,99219537
YBR020W,ENSG00000156958,32,1,15,49155656,49367869
YBR020W,ENSG00000108479,21,1,17,75751594,75765711
YDL049C,,,,,,
YAL019W,ENSG00000163104,27,1,4,94207611,94291292
YDR484W,ENSG00000223501,19,1,6,33250272,33272047
YEL037C,ENSG00000119318,31,1,9,107283137,107332194
YEL037C,ENSG00000179262,29,1,19,12945855,12953642
YDL114W,ENSG00000162496,20,1,1,12567910,12617731
YDL114W,ENSG00000121039,23,1,8,73294612,73325281
YDL114W,ENSG00000170786,24,1,8,56300010,56320776
YDL114W,ENSG00000198189,19,1,4,87336610,87391386
YDL114W,ENSG00000170509,20,1,4,87303789,87322906
YCL027W,,,,,,
YBR273C,,,,,,
YHR139C-A,,,,,,
YIL062C,,,,,,
YML091C,,,,,,
YCL021W-A,,,,,,
YAL017W,ENSG00000102096,7,1,X,48913182,48919024
YAL017W,ENSG00000198355,7,1,22,49960513,49964080
YAL017W,ENSG00000137193,7,1,6,37170203,37175426
YAL017W,ENSG00000115687,14,1,2,241106099,241150264
YOR372C,,,,,,
YGL098W,,,,,,
YDL209C,,,,,,
YMR199W,,,,,,
YNL329C,ENSG00000124587,26,1,6,42963870,42979220
YJL022W,,,,,,
YCR093W,ENSG00000125107,26,1,16,58519951,58629886
YMR300C,ENSG00000128059,33,1,4,56393362,56435615
YLR159C-A,,,,,,
YCR039C,,,,,,
YBL053W,,,,,,
YLR008C,,,,,,
YIL107C,,,,,,
YIL057C,,,,,,
YGL136C,ENSG00000122687,26,1,7,2234231,2242198
YBL107W-A,,,,,,
YHR024C,ENSG00000140740,25,1,16,21952660,21983660
YHR024C,ENSG00000165688,34,1,9,136410570,136423761
YLR120C,,,,,,
YGR211W,ENSG00000109917,44,1,11,116773799,116788050
YPR089W,,,,,,
YML007W,,,,,,
YEL030C-A,,,,,,
YPL039W,,,,,,
YGL041C-B,,,,,,
YHR120W,,,,,,
YLR237W,,,,,,
YCL076W,,,,,,
YBL007C,,,,,,
YFL034C-A,ENSG00000163584,38,1,3,170864875,170870483
YFL034C-A,ENSG00000116251,43,1,1,6181269,6209389
YMR194W,ENSG00000130255,46,1,19,5674947,5691876
YGR068C,,,,,,
YNR064C,,,,,,
YBR301W,,,,,,
YPL075W,,,,,,
YPL017C,,,,,,
YGR163W,ENSG00000116954,45,1,1,38838198,38859823
YGR163W,ENSG00000025039,44,1,6,89364636,89412270
YML004C,ENSG00000124767,22,1,6,38675925,38703141
YNL097W-A,,,,,,
YDR108W,,,,,,
YMR202W,ENSG00000147955,31,1,9,34634722,34637809
YGR292W,ENSG00000138079,26,1,2,44275458,44321494
YGR292W,ENSG00000168003,14,1,11,62856102,62888875
YOR140W,,,,,,
YHR172W,,,,,,
YBR266C,,,,,,
YKL102C,,,,,,
YDR034C-D,,,,,,
YEL029C,ENSG00000160209,34,1,21,43719094,43762307
YNL267W,ENSG00000143393,23,1,1,151291797,151327715
YDR058C,,,,,,
YLR250W,,,,,,
YHR053C,,,,,,
YGR245C,ENSG00000198301,34,1,4,75940950,75990962
YKR066C,,,,,,
YNL040W,ENSG00000266967,9,1,17,42950526,42964498
YNL040W,ENSG00000110958,3,1,12,56663341,56688408
YNL040W,ENSG00000267060,2,1,17,42968088,42980433
YNL040W,ENSG00000108825,10,1,17,42950526,42980528
YGL161C,,,,,,
YIL003W,ENSG00000095906,46,1,16,1782901,1789191
YMR105W-A,,,,,,
YPR144C,ENSG00000184967,28,1,12,132144448,132152473
YHR214W-A,,,,,,
YOR359W,,,,,,
YFL055W,,,,,,
YDR524W-C,,,,,,
YGR070W,ENSG00000268861,10,1,19,7380964,7472477
YGR070W,ENSG00000116584,11,1,1,155946851,156007070
YGR070W,ENSG00000214944,14,1,5,73626158,73941993
YGR070W,ENSG00000132694,13,1,1,156934840,157045370
YGR070W,ENSG00000163947,6,1,3,56727418,57079329
YGR070W,ENSG00000196914,13,1,11,120336914,120489936
YGR070W,ENSG00000173848,7,1,10,5412551,5458463
YGR070W,ENSG00000104880,11,1,19,7395113,7472477
YGR070W,ENSG00000076928,10,1,19,41883161,41930150
YGR070W,ENSG00000170776,13,1,15,85380571,85749358
YGR181W,ENSG00000099800,35,1,19,2425624,2427894
YIL086C,,,,,,
YPL029W,ENSG00000156502,28,1,10,69180232,69209099
YGL102C,,,,,,
YER007C-A,ENSG00000232119,45,1,X,120594010,120621074
YLR116W,ENSG00000131773,13,1,8,135457457,135656722
YLR116W,ENSG00000168066,35,1,11,64764606,64778786
YLR116W,ENSG00000112232,14,1,6,61679960,62286227
YLR116W,ENSG00000112531,16,1,6,163414000,163578596
YLR116W,ENSG00000121774,12,1,1,32013829,32060850
YAL047W-A,,,,,,
YDR197W,,,,,,
YJR144W,,,,,,
YPL224C,,,,,,
YPL172C,ENSG00000006695,30,1,17,14069496,14208677
YMR083W,,,,,,
YGR086C,,,,,,
YMR156C,,,,,,
YHR205W,ENSG00000108443,22,1,17,59893046,59950564
YHR205W,ENSG00000175634,21,1,11,67428460,67435408
YOL013W-A,,,,,,
YGR281W,,,,,,
YCR048W,ENSG00000057252,18,1,1,179293714,179358680
YCR048W,ENSG00000185000,16,1,8,144314584,144326910
YCR048W,ENSG00000167780,15,1,12,53103518,53124538
YKL182W,,,,,,
YDL065C,,,,,,
YPR201W,,,,,,
YLR154W-E,,,,,,
YMR126C,,,,,,
YDR175C,,,,,,
YEL059W,,,,,,
YDR428C,,,,,,
YJL195C,,,,,,
YER032W,,,,,,
YMR194C-A,,,,,,
YOR182C,,,,,,
YGR194C,ENSG00000093217,30,1,3,38346760,38421348
YHR056W-A,,,,,,
YGR078C,ENSG00000155959,37,1,X,155197007,155239817
YHR163W,ENSG00000130313,34,1,19,17511629,17521288
YMR265C,,,,,,
YIL162W,,,,,,
YOR222W,ENSG00000183032,35,1,14,36677921,37172866
YBL103C,,,,,,
YLR358C,,,,,,
YIL052C,ENSG00000109475,50,1,4,108620566,108630412
YKL108W,,,,,,
YML040W,,,,,,
YMR059W,,,,,,
YDR302W,,,,,,
YOL017W,,,,,,
YLR382C,ENSG00000011376,35,1,3,45388506,45549421
YBR242W,ENSG00000111906,34,1,6,125219962,125302078
YBL021C,ENSG00000148229,22,1,9,113407235,113410672
YBL021C,ENSG00000120837,44,1,12,104117077,104138289
YNL246W,,,,,,
YER012W,ENSG00000126067,44,1,1,35599544,35641844
YOL030W,,,,,,
YLR301W,,,,,,
YDR082W,,,,,,
YKL068W-A,,,,,,
YDL221W,,,,,,
YPR139C,,,,,,
YGL141W,ENSG00000151148,27,1,12,109477402,109536705
YGL141W,ENSG00000009335,28,1,7,157138913,157269372
YOR231C-A,,,,,,
YOR343W-B,,,,,,
YDR458C,,,,,,
YPL202C,,,,,,
YJR072C,ENSG00000198522,45,1,2,27628247,27651508
YLR114C,ENSG00000105778,20,1,7,32495426,32588721
YOL068C,ENSG00000089163,13,1,12,120302316,120313249
YOL068C,ENSG00000124523,14,1,6,13574529,13615158
YOL068C,ENSG00000096717,27,1,10,67884669,67918390
YPR071W,,,,,,
YDR267C,ENSG00000176871,18,1,12,118032694,118062430
YDR267C,ENSG00000109046,17,1,17,27294076,27315926
YDR267C,ENSG00000144021,41,1,2,96266132,96273349
YJL019W,,,,,,
YLR248W,ENSG00000099875,19,1,19,2037465,2051244
YLR248W,ENSG00000079277,19,1,1,46557408,46616843
YLR248W,ENSG00000089022,17,1,12,111841978,111902238
YLR248W,ENSG00000162889,17,1,1,206684944,206734283
YLR248W,ENSG00000114738,17,1,3,50611520,50649297
YIL020C,,,,,,
YNL063W,ENSG00000114735,22,1,3,50569152,50596168
YOR073W-A,,,,,,
YOR391C,,,,,,
YFR044C,ENSG00000150656,44,1,18,74534440,74587212
YFR044C,ENSG00000133313,51,1,18,74495816,74523454
YFL023W,,,,,,
YIL129C,ENSG00000075539,21,1,4,48497361,48780322
YIL129C,ENSG00000073910,21,1,13,32031300,32299122
YFL032W,,,,,,
YBR150C,,,,,,
YDR245W,,,,,,
YGL176C,,,,,,
YDR149C,,,,,,
YDR212W,ENSG00000120438,61,1,6,159778498,159789749
YMR185W,ENSG00000103047,18,1,16,68843604,69085180
YOR103C,ENSG00000129562,34,1,14,22564905,22589269
YJL091C,ENSG00000277161,30,1,17,36535020,36539310
YDR065W,,,,,,
YKL126W,ENSG00000105221,23,1,19,40230317,40285536
YKL126W,ENSG00000118515,29,1,6,134169246,134318112
YKL126W,ENSG00000171132,22,1,2,45651345,46187990
YKL126W,ENSG00000101049,26,1,20,43558968,43588237
YKL126W,ENSG00000067606,21,1,1,2050470,2185395
YKL126W,ENSG00000126583,22,1,19,53879190,53907652
YKL126W,ENSG00000154229,22,1,17,66302636,66810743
YKL126W,ENSG00000142208,24,1,14,104769349,104795751
YKL126W,ENSG00000065675,25,1,10,6427143,6580301
YKL126W,ENSG00000027075,23,1,14,61187559,61550976
YKL126W,ENSG00000163932,24,1,3,53156009,53192717
YKL126W,ENSG00000117020,23,1,1,243488233,243851079
YKL126W,ENSG00000104205,28,1,8,66712418,66862022
YKL126W,ENSG00000163558,21,1,3,170222365,170305981
YKL126W,ENSG00000166501,21,1,16,23836001,24220611
YKL126W,ENSG00000270024,28,1,8,66667596,66860472
YOR254C,ENSG00000025796,23,1,6,107867756,107958189
YHR174W,,,,,,
YLR441C,ENSG00000145425,59,1,4,151099573,151104652
YDR182W-A,,,,,,
YFR012W,,,,,,
YBR204C,,,,,,
YLR283W,,,,,,
YGL174W,,,,,,
YGR145W,ENSG00000115761,39,1,2,10570766,10689987
YDR061W,,,,,,
YGR199W,ENSG00000130714,26,1,9,131502902,131523806
YGR199W,ENSG00000009830,30,1,14,77274956,77320884
YBL005W,,,,,,
YLR466C-B,,,,,,
YNL018C,,,,,,
YIL108W,,,,,,
YDR404C,ENSG00000168002,43,1,11,62761544,62766710
YML122C,,,,,,
YBR131W,,,,,,
YOR058C,,,,,,
YBL104C,ENSG00000164654,23,1,7,7566872,7608929
YBR095C,,,,,,
YIL004C,,,,,,
YBR084W,,,,,,
YCR095W-A,,,,,,
YMR173W,,,,,,
YKL203C,ENSG00000157106,17,1,16,18804853,18926454
YKL203C,ENSG00000198793,43,1,1,11106535,11262507
YKL203C,ENSG00000261740,1,1,16,29443056,29454651
YKL221W,,,,,,
YHR085W,,,,,,
YOR301W,,,,,,
YDL210W,,,,,,
YPL044C,,,,,,
YDR168W,,,,,,
YKR052C,ENSG00000147454,38,1,8,23528805,23575463
YKR052C,ENSG00000155287,39,1,10,99610522,99620609
YNL308C,ENSG00000129347,25,1,19,10553078,10566037
YOL089C,,,,,,
YOR171C,ENSG00000188452,12,1,2,181536676,181680665
YOR171C,ENSG00000063176,20,1,19,48619291,48630717
YOR171C,ENSG00000100422,12,1,22,46684411,46738261
YOR171C,ENSG00000176170,16,1,17,76376584,76387860
YOR171C,ENSG00000006530,11,1,7,141551189,141655244
YIL050W,,,,,,
YLR043C,ENSG00000168454,6,1,18,9885726,9889275
YLR043C,ENSG00000204193,5,1,9,110303521,110337884
YLR043C,ENSG00000091164,33,1,18,56597208,56651600
YLR043C,ENSG00000136810,9,1,9,110243811,110256640
YOR031W,,,,,,
YBL099W,ENSG00000152234,70,1,18,46080248,46104334
YLR359W,ENSG00000239900,63,1,22,40346500,40369367
YNL054W-A,,,,,,
YOR237W,,,,,,
YPL217C,ENSG00000165733,40,1,10,42782801,42834937
YKL111C,,,,,,
YNR009W,,,,,,
YGL194C,ENSG00000163517,18,1,3,13479724,13506424
YLR038C,ENSG00000160471,40,1,19,55349306,55354814
YLR038C,ENSG00000126267,43,1,19,35648223,35658861
YOR106W,,,,,,
YMR030W-A,,,,,,
YJR056C,,,,,,
YMR236W,ENSG00000273841,29,1,5,69364743,69370013
YMR236W,ENSG00000187325,30,1,X,78129748,78139706
YLR287C-A,,,,,,
YPR130C,,,,,,
YER039C,,,,,,
YDR044W,ENSG00000080819,53,1,3,98521132,98593723
YNL314W,,,,,,
YLR118C,ENSG00000120992,34,1,8,54046367,54102017
YLR118C,ENSG00000011009,31,1,1,23790970,23795539
YLR118C,ENSG00000143353,22,1,1,219173844,219212865
YAR073W,ENSG00000106348,53,1,7,128392277,128410252
YAR073W,ENSG00000137198,11,1,6,16238580,16295549
YAR073W,ENSG00000178035,53,1,3,49024325,49029408
YAR073W,ENSG00000100938,13,1,14,24232422,24239242
YDR387C,ENSG00000151229,27,1,12,39755021,40106089
YDR387C,ENSG00000197496,21,1,20,46709487,46736347
YDR387C,ENSG00000146411,21,1,6,133988697,134052636
YIL071C,,,,,,
YOL130W,,,,,,
YDR169C,,,,,,
YLR157C-C,,,,,,
YER178W,ENSG00000131828,45,1,X,19343893,19361705
YER178W,ENSG00000248098,23,1,19,41397460,41431345
YER178W,ENSG00000163114,45,1,4,95840019,95841474
YER178W,ENSG00000255730,23,1,19,41350853,41425004
YBL094C,,,,,,
YDR514C,,,,,,
YIR019C,,,,,,
YEL045C,,,,,,
YGL177W,,,,,,
YDR333C,ENSG00000141002,21,1,16,89873586,89911384
YMR210W,ENSG00000168792,14,1,17,29560547,29567137
YMR210W,ENSG00000143994,21,1,2,27123789,27130812
YMR210W,ENSG00000158201,22,1,18,21650897,21704805
YMR210W,ENSG00000140526,19,1,15,89087459,89202360
YDR124W,,,,,,
YKR061W,,,,,,
YOR338W,,,,,,
YER088C,,,,,,
YLR467W,,,,,,
YML116W-A,,,,,,
YDR360W,,,,,,
YPL283W-A,,,,,,
Q0130,ENSG00000154518,62,1,2,175176258,175184607
Q0130,ENSG00000135390,62,1,12,53632726,53677408
Q0130,ENSG00000159199,61,1,17,48892765,48895871
YDR115W,,,,,,
YOR334W,ENSG00000124532,19,1,6,24402908,24426194
YGR256W,ENSG00000142657,64,1,1,10398592,10420144
YPR021C,ENSG00000004864,27,1,7,96120220,96322147
YPR021C,ENSG00000177542,13,1,11,790475,798333
YPR021C,ENSG00000115840,27,1,2,171784370,171999859
YPR021C,ENSG00000182902,12,1,22,17563439,17590994
YPR021C,ENSG00000160785,8,1,1,156193932,156212796
YKR097W,,,,,,
YFL031C-A,,,,,,
YOL038C-A,,,,,,
YHR218W-A,,,,,,
YMR107W,,,,,,
YDR451C,,,,,,
YCL063W,,,,,,
YJL192C,,,,,,
YBR039W,ENSG00000165629,39,1,10,7788129,7807815
YHR177W,,,,,,
YER023C-A,,,,,,
YGL214W,,,,,,
YIR027C,ENSG00000157851,22,1,2,26847747,26950351
YIR027C,ENSG00000072832,22,1,4,5748084,5893058
YIR027C,ENSG00000147647,22,1,8,104330324,104467053
YIR027C,ENSG00000113657,22,1,5,147390811,147510056
YIR027C,ENSG00000151640,20,1,10,132186900,132205776
YIR027C,ENSG00000092964,21,1,8,26514275,26658178
YAL042W,ENSG00000087502,21,1,12,29337352,29381189
YAL042W,ENSG00000125991,34,1,20,35542021,35557634
YAL042W,ENSG00000113719,18,1,5,172834275,172952685
YIL007C,ENSG00000110801,34,1,12,121888731,121918297
YIL007C,ENSG00000256950,15,1,12,121888809,121921470
YPR036W,ENSG00000047249,21,1,8,53715557,53843558
YOR030W,,,,,,
YHR181W,ENSG00000258881,31,1,2,70939318,70995336
YHR181W,ENSG00000144043,33,1,2,70985938,70994945
YPL267W,,,,,,
YOL051W,,,,,,
YDR188W,ENSG00000132141,54,1,17,34927859,34981078
YDR188W,ENSG00000146731,56,1,7,56051630,56063989
YMR243C,ENSG00000164756,19,1,8,116950273,117176714
YMR243C,ENSG00000196660,31,1,1,219685427,219958647
YMR243C,ENSG00000170385,33,1,1,211571568,211578742
YMR243C,ENSG00000104154,19,1,15,45479611,45522807
YMR243C,ENSG00000115194,19,1,2,27253684,27275817
YMR243C,ENSG00000158014,18,1,1,26037252,26046133
YAL067W-A,,,,,,
YLR154W-F,,,,,,
YNR034W-A,,,,,,
YCR049C,,,,,,
YHR180W,,,,,,
YEL023C,,,,,,
YNL057W,,,,,,
YNL045W,ENSG00000111144,35,1,12,96000828,96043520
YNL045W,ENSG00000176393,28,1,1,201982372,202006147
YNL045W,ENSG00000142327,18,1,2,240565804,240581372
YNL045W,ENSG00000148120,17,1,9,94726701,95087218
YPL080C,,,,,,
YPR141C,ENSG00000167702,19,1,8,144466043,144474202
YPR141C,ENSG00000237649,25,1,6,33391536,33409924
YPR141C,ENSG00000140859,27,1,16,57758217,57863053
YPR141C,ENSG00000125337,14,1,6,167996241,168045089
YJR061W,,,,,,
YIL104C,ENSG00000144736,23,1,3,72749277,72861914
YLL035W,,,,,,
YHR214C-C,,,,,,
YNL282W,,,,,,
YNL338W,,,,,,
YLR424W,,,,,,
YBR243C,ENSG00000172269,38,1,11,119096503,119108331
YDR520C,,,,,,
YFL064C,,,,,,
YGL137W,ENSG00000184432,43,1,3,139355600,139389732
YMR234W,ENSG00000171865,22,1,2,3544793,3558616
YMR234W,ENSG00000255767,5,1,2,3531984,3547957
YNL212W,,,,,,
YJL026C-A,,,,,,
YMR112C,,,,,,
YGL212W,,,,,,
YHR005C-A,ENSG00000134809,33,1,11,57528463,57530803
YHL009W-A,,,,,,
YJL156W-A,,,,,,
YJL134W,ENSG00000163082,19,1,2,222424517,222560948
YJL134W,ENSG00000126821,22,1,14,63684214,63728039
YLR454W,,,,,,
YJL127C-B,,,,,,
YOR105W,,,,,,
YDR080W,ENSG00000006715,22,1,7,38722963,38932394
YKL064W,,,,,,
YNR023W,,,,,,
YBL096C,,,,,,
YPL253C,,,,,,
YHR073C-B,,,,,,
YLR261C,,,,,,
YBR096W,,,,,,
YJR042W,,,,,,
YGR150C,,,,,,
YDR089W,,,,,,
YGR074W,ENSG00000167088,39,1,18,21612267,21633524
YLR390W-A,,,,,,
YGL180W,ENSG00000163482,18,1,2,218672026,218702716
YGL180W,ENSG00000140474,15,1,15,74836116,74843346
YGL180W,ENSG00000104365,12,1,8,42271302,42332653
YGL180W,ENSG00000183735,12,1,12,64451880,64502108
YGL180W,ENSG00000213341,12,1,10,100188298,100229619
YGL180W,ENSG00000083290,24,1,17,19770829,19867936
YGL180W,ENSG00000177169,23,1,12,131894651,131923167
YGL180W,ENSG00000263528,11,1,1,206470476,206496889
YHR043C,,,,,,
YPR101W,,,,,,
YBR146W,ENSG00000135972,27,1,2,105037983,105099960
YDR017C,ENSG00000176095,10,1,3,49724294,49786542
YDR017C,ENSG00000161896,10,1,6,33721667,33746985
YDR017C,ENSG00000151151,5,1,10,58191517,58267934
YDR017C,ENSG00000068745,10,1,3,48688003,48740353
YDR085C,,,,,,
YHR011W,ENSG00000104835,32,1,19,38915266,38930896
YHR011W,ENSG00000269547,30,1,19,38915404,38949855
YKL053W,,,,,,
YPL043W,ENSG00000106344,27,1,7,128297685,128343908
YPR146C,,,,,,
YDL235C,,,,,,
YCL041C,,,,,,
YLR278C,,,,,,
YGL158W,ENSG00000099875,21,1,19,2037465,2051244
YGL158W,ENSG00000079277,22,1,1,46557408,46616843
YGL158W,ENSG00000089022,21,1,12,111841978,111902238
YGL158W,ENSG00000162889,20,1,1,206684944,206734283
YGL158W,ENSG00000114738,20,1,3,50611520,50649297
YHR070C-A,,,,,,
YLR348C,ENSG00000174032,29,1,13,45393316,45418455
YLR348C,ENSG00000183048,29,1,17,81712236,81721016
YLR348C,ENSG00000153291,30,1,6,46652915,46678193
YLR348C,ENSG00000109424,29,1,4,140559434,140568805
YLR348C,ENSG00000102078,29,1,X,130339888,130373361
YLR348C,ENSG00000175564,31,1,11,74000281,74009435
YLR348C,ENSG00000262660,32,1,17,81703371,81720539
YLR348C,ENSG00000108528,36,1,17,4937130,4940251
YLR348C,ENSG00000175567,30,1,11,73974667,73983307
YGR186W,,,,,,
YAL028W,,,,,,
YDL002C,,,,,,
YDR099W,ENSG00000128245,55,1,22,31944461,31957603
YDR099W,ENSG00000108953,69,1,17,1344272,1400378
YDR099W,ENSG00000175793,53,1,1,26863138,26864457
YDR099W,ENSG00000170027,56,1,7,76326794,76359031
YDR099W,ENSG00000166913,57,1,20,44885676,44908532
YDR099W,ENSG00000134308,54,1,2,9583972,9631014
YDR099W,ENSG00000164924,58,1,8,100916525,100953388
YJL213W,,,,,,
YNL278W,,,,,,
YNL173C,,,,,,
YLR313C,,,,,,
YMR216C,ENSG00000096063,30,1,6,35832966,35921342
YMR216C,ENSG00000135250,29,1,7,105110704,105399308
YMR216C,ENSG00000184343,28,1,X,153776412,153785732
YER039C-A,,,,,,
YJL009W,,,,,,
YLR196W,ENSG00000136045,32,1,12,107685732,107713167
YMR306W,,,,,,
YBR085C-A,,,,,,
YDL059C,,,,,,
YOR329C,,,,,,
YHL035C,,,,,,
YHL004W,ENSG00000122140,19,1,9,135499984,135504673
YJR116W,,,,,,
YBR073W,ENSG00000197275,33,1,8,94371960,94475109
YDR449C,ENSG00000108651,23,1,17,31860899,31901765
YPR064W,,,,,,
YDL088C,,,,,,
YBR215W,,,,,,
YDR435C,,,,,,
YNL161W,ENSG00000171219,20,1,11,64823387,64844569
YNL161W,ENSG00000211455,31,1,12,27243968,27325959
YNL161W,ENSG00000150457,32,1,13,20973032,21061547
YNL161W,ENSG00000131023,30,1,6,149658153,149718256
YNL161W,ENSG00000134318,20,1,2,11179761,11348330
YNL161W,ENSG00000122966,19,1,12,119685790,119877291
YNL161W,ENSG00000198752,21,1,14,102932379,103057462
YNL161W,ENSG00000143776,21,1,1,226989865,227318474
YNL161W,ENSG00000104936,19,1,19,45769717,45782552
YNL161W,ENSG00000112079,30,1,6,36493892,36547470
YNL161W,ENSG00000067900,21,1,18,20946906,21111851
YLR331C,,,,,,
YDL052C,ENSG00000169692,23,1,9,136673143,136687423
YDL052C,ENSG00000204310,24,1,6,32168212,32178096
YFL058W,,,,,,
YGR295C,,,,,,
YFR031C,ENSG00000136824,36,1,9,104094260,104141417
YMR144W,,,,,,
YBR084C-A,ENSG00000108298,57,1,17,39200283,39204727
YDR161W,,,,,,
YER062C,,,,,,
YCR068W,,,,,,
YPR051W,ENSG00000139977,43,1,14,57390544,57415917
YCR094W,ENSG00000235156,4,1,3,100185824,100194191
YCR094W,ENSG00000112697,30,1,6,75252924,75284968
YCR094W,ENSG00000182107,30,1,14,61277370,61281840
YLR253W,ENSG00000063761,28,1,14,77800083,77935012
YLR253W,ENSG00000173137,24,1,8,144373101,144393242
YOR285W,ENSG00000215845,22,1,1,161037631,161038990
YJL001W,ENSG00000240065,43,1,6,32844136,32859585
YJL001W,ENSG00000142507,52,1,17,4796144,4798503
YGR068W-A,,,,,,
YLL022C,,,,,,
YGL237C,ENSG00000001167,29,1,6,41072945,41099976
YHR067W,,,,,,
YOR266W,,,,,,
YBR044C,,,,,,
YDR120C,ENSG00000121486,19,1,1,185118098,185157072
YDR120C,ENSG00000104907,34,1,19,13104902,13117567
YLR071C,,,,,,
YGR151C,,,,,,
YJL012C,,,,,,
YER126C,ENSG00000164346,62,1,5,74766991,74780113
YMR246W,ENSG00000068366,30,1,X,109624244,109733403
YMR246W,ENSG00000123983,30,1,2,222860934,222944639
YLR201C,ENSG00000088682,24,1,16,57447425,57461275
YPL031C,ENSG00000138395,50,1,2,201790461,201895550
YPL031C,ENSG00000102225,52,1,X,47217860,47229997
YPL031C,ENSG00000059758,49,1,12,96278261,96400560
YPL031C,ENSG00000058091,51,1,7,90466424,91210590
YPL031C,ENSG00000117266,51,1,1,205504595,205532793
YJL098W,ENSG00000100239,10,1,22,50343304,50445090
YJL098W,ENSG00000110075,10,1,11,68460731,68615334
YJL098W,ENSG00000105063,11,1,19,55229780,55258995
Q0142,,,,,,
YBR059C,ENSG00000115977,14,1,2,69457997,69674349
YBR059C,ENSG00000138756,14,1,4,78776342,78916372
YBR059C,ENSG00000116675,8,1,1,65248219,65415869
YBR059C,ENSG00000178950,15,1,4,849276,932373
YDR445C,,,,,,
YFL015W-A,,,,,,
YGR020C,ENSG00000128524,52,1,7,128862826,128865844
YHR091C,ENSG00000113643,24,1,5,168486445,168519299
YHR091C,ENSG00000146282,34,1,6,87514378,87590003
YIR039C,,,,,,
YAR047C,,,,,,
YML066C,,,,,,
YDR501W,,,,,,
YNL088W,ENSG00000131747,43,1,17,40388516,40417950
YNL088W,ENSG00000077097,44,1,3,25597905,25664907
YKR043C,,,,,,
YNL053W,,,,,,
YDR137W,,,,,,
YDR400W,,,,,,
YBR231C,ENSG00000153774,23,1,16,75293698,75433485
YDL120W,ENSG00000165060,30,1,9,69035259,69100178
YER082C,ENSG00000227057,37,1,6,33279108,33289527
YHL043W,,,,,,
YLR151C,,,,,,
YFR021W,ENSG00000157954,27,1,7,5190188,5233826
YFR021W,ENSG00000070540,25,1,17,68420948,68457513
YML121W,ENSG00000083750,52,1,X,55717739,55758774
YML121W,ENSG00000155876,52,1,9,19049395,19050983
YNL033W,,,,,,
YLR310C,ENSG00000136828,6,1,9,126914774,127223166
YLR310C,ENSG00000107263,10,1,9,131576770,131740074
YLR310C,ENSG00000108352,4,1,17,40177010,40195656
YLR310C,ENSG00000068831,5,1,11,64726911,64745456
YLR310C,ENSG00000109756,8,1,4,159104178,159360169
YLR310C,ENSG00000172575,5,1,15,38488103,38565575
YLR310C,ENSG00000146090,5,1,5,180100791,180209153
YLR310C,ENSG00000136237,7,1,7,22118238,22357144
YLR310C,ENSG00000113319,10,1,5,80960672,81230156
YLR310C,ENSG00000198915,5,1,10,43194535,43266919
YLR310C,ENSG00000079337,7,1,12,47734367,47771040
YLR310C,ENSG00000115904,17,1,2,38981396,39124345
YLR310C,ENSG00000158987,8,1,5,131423921,131635236
YLR310C,ENSG00000281164,7,1,5,131427266,131635030
YLR310C,ENSG00000138670,6,1,4,81426393,82044244
YLR310C,ENSG00000152689,5,1,2,33436324,33564750
YLR310C,ENSG00000100485,17,1,14,50117120,50231558
YLR310C,ENSG00000273217,8,1,5,131425891,131796983
YLR310C,ENSG00000116191,5,1,1,178725147,178921841
YLR310C,ENSG00000171777,5,1,19,38409051,38426305
YLR310C,ENSG00000058335,10,1,15,78959947,79090773
YLR310C,ENSG00000091428,7,1,2,172735274,173052893
YDR048C,,,,,,
YGR087C,,,,,,
YGR244C,ENSG00000172340,42,1,3,67360460,67654614
YGR244C,ENSG00000136143,45,1,13,47936487,48001326
YGL255W,,,,,,
YNL036W,,,,,,
YHR046C,ENSG00000141401,28,1,18,11981025,12030883
YHR046C,ENSG00000133731,30,1,8,81657961,81686693
YKR071C,ENSG00000005194,24,1,16,57428169,57447528
YOR016C,,,,,,
YGR063C,ENSG00000213246,44,1,17,58345175,58353093
YLL019W-A,,,,,,
YML065W,,,,,,
YPR005C,,,,,,
YAR003W,ENSG00000117222,29,1,1,205086142,205122015
YGR223C,ENSG00000141580,27,1,17,82614562,82648553
YGR223C,ENSG00000250232,17,1,X,49071726,49079887
YGR223C,ENSG00000196998,25,1,X,49074433,49101170
YHR021W-A,,,,,,
YFL062W,,,,,,
YDR537C,,,,,,
YMR267W,,,,,,
YPL093W,ENSG00000107937,46,1,10,988019,1019936
YJR034W,,,,,,
YNL077W,ENSG00000007923,18,1,1,6634168,6701924
YPL160W,ENSG00000133706,45,1,5,146113038,146182660
YGL185C,,,,,,
YDR456W,ENSG00000065923,30,1,X,46599252,46759172
