"","Ensembl.Gene.ID","Human.Ensembl.Gene.ID","X..Identity.with.respect.to.query.gene","Orthology.confidence..0.low..1.high.","Human.Chromosome.Name","Human.Chromosome.Start..bp.","Human.Chromosome.End..bp.","essential"
"2088","YOR171C","ENSG00000176170",16,1,"17",76376584,76387860,FALSE
"2089","YOR171C","ENSG00000006530",11,1,"7",141551189,141655244,FALSE
"2091","YLR043C","ENSG00000168454",6,1,"18",9885726,9889275,FALSE
"2092","YLR043C","ENSG00000204193",5,1,"9",110303521,110337884,FALSE
"2093","YLR043C","ENSG00000091164",33,1,"18",56597208,56651600,FALSE
"2094","YLR043C","ENSG00000136810",9,1,"9",110243811,110256640,FALSE
"2096","YBL099W","ENSG00000152234",70,1,"18",46080248,46104334,FALSE
"2097","YLR359W","ENSG00000239900",63,1,"22",40346500,40369367,TRUE
"2100","YPL217C","ENSG00000165733",40,1,"10",42782801,42834937,TRUE
"2103","YGL194C","ENSG00000163517",18,1,"3",13479724,13506424,FALSE
"2104","YLR038C","ENSG00000160471",40,1,"19",55349306,55354814,FALSE
"2105","YLR038C","ENSG00000126267",43,1,"19",35648223,35658861,FALSE
"2109","YMR236W","ENSG00000273841",29,1,"5",69364743,69370013,TRUE
"2110","YMR236W","ENSG00000187325",30,1,"X",78129748,78139706,TRUE
"2114","YDR044W","ENSG00000080819",53,1,"3",98521132,98593723,TRUE
"2116","YLR118C","ENSG00000120992",34,1,"8",54046367,54102017,FALSE
"2117","YLR118C","ENSG00000011009",31,1,"1",23790970,23795539,FALSE
"2118","YLR118C","ENSG00000143353",22,1,"1",219173844,219212865,FALSE
"2119","YAR073W","ENSG00000106348",53,1,"7",128392277,128410252,FALSE
"2120","YAR073W","ENSG00000137198",11,1,"6",16238580,16295549,FALSE
"2121","YAR073W","ENSG00000178035",53,1,"3",49024325,49029408,FALSE
"2122","YAR073W","ENSG00000100938",13,1,"14",24232422,24239242,FALSE
"2123","YDR387C","ENSG00000151229",27,1,"12",39755021,40106089,FALSE
"2124","YDR387C","ENSG00000197496",21,1,"20",46709487,46736347,FALSE
"2125","YDR387C","ENSG00000146411",21,1,"6",133988697,134052636,FALSE
"2130","YER178W","ENSG00000131828",45,1,"X",19343893,19361705,FALSE
"2131","YER178W","ENSG00000248098",23,1,"19",41397460,41431345,FALSE
"2132","YER178W","ENSG00000163114",45,1,"4",95840019,95841474,FALSE
"2133","YER178W","ENSG00000255730",23,1,"19",41350853,41425004,FALSE
"2139","YDR333C","ENSG00000141002",21,1,"16",89873586,89911384,FALSE
"2140","YMR210W","ENSG00000168792",14,1,"17",29560547,29567137,FALSE
"2141","YMR210W","ENSG00000143994",21,1,"2",27123789,27130812,FALSE
"2142","YMR210W","ENSG00000158201",22,1,"18",21650897,21704805,FALSE
"2143","YMR210W","ENSG00000140526",19,1,"15",89087459,89202360,FALSE
"2152","Q0130","ENSG00000154518",62,1,"2",175176258,175184607,FALSE
"2153","Q0130","ENSG00000135390",62,1,"12",53632726,53677408,FALSE
"2154","Q0130","ENSG00000159199",61,1,"17",48892765,48895871,FALSE
"2156","YOR334W","ENSG00000124532",19,1,"6",24402908,24426194,FALSE
"2157","YGR256W","ENSG00000142657",64,1,"1",10398592,10420144,FALSE
"2158","YPR021C","ENSG00000004864",27,1,"7",96120220,96322147,FALSE
"2159","YPR021C","ENSG00000177542",13,1,"11",790475,798333,FALSE
"2160","YPR021C","ENSG00000115840",27,1,"2",171784370,171999859,FALSE
"2161","YPR021C","ENSG00000182902",12,1,"22",17563439,17590994,FALSE
"2162","YPR021C","ENSG00000160785",8,1,"1",156193932,156212796,FALSE
"2171","YBR039W","ENSG00000165629",39,1,"10",7788129,7807815,FALSE
"2175","YIR027C","ENSG00000157851",22,1,"2",26847747,26950351,FALSE
"2176","YIR027C","ENSG00000072832",22,1,"4",5748084,5893058,FALSE
"2177","YIR027C","ENSG00000147647",22,1,"8",104330324,104467053,FALSE
"2178","YIR027C","ENSG00000113657",22,1,"5",147390811,147510056,FALSE
"2179","YIR027C","ENSG00000151640",20,1,"10",132186900,132205776,FALSE
"2180","YIR027C","ENSG00000092964",21,1,"8",26514275,26658178,FALSE
"2181","YAL042W","ENSG00000087502",21,1,"12",29337352,29381189,FALSE
"2182","YAL042W","ENSG00000125991",34,1,"20",35542021,35557634,FALSE
"2183","YAL042W","ENSG00000113719",18,1,"5",172834275,172952685,FALSE
"2184","YIL007C","ENSG00000110801",34,1,"12",121888731,121918297,FALSE
"2185","YIL007C","ENSG00000256950",15,1,"12",121888809,121921470,FALSE
"2186","YPR036W","ENSG00000047249",21,1,"8",53715557,53843558,FALSE
"2188","YHR181W","ENSG00000258881",31,1,"2",70939318,70995336,FALSE
"2189","YHR181W","ENSG00000144043",33,1,"2",70985938,70994945,FALSE
"2192","YDR188W","ENSG00000132141",54,1,"17",34927859,34981078,TRUE
"2193","YDR188W","ENSG00000146731",56,1,"7",56051630,56063989,TRUE
"2194","YMR243C","ENSG00000164756",19,1,"8",116950273,117176714,FALSE
"2195","YMR243C","ENSG00000196660",31,1,"1",219685427,219958647,FALSE
"2196","YMR243C","ENSG00000170385",33,1,"1",211571568,211578742,FALSE
"2197","YMR243C","ENSG00000104154",19,1,"15",45479611,45522807,FALSE
"2198","YMR243C","ENSG00000115194",19,1,"2",27253684,27275817,FALSE
"2199","YMR243C","ENSG00000158014",18,1,"1",26037252,26046133,FALSE
"2207","YNL045W","ENSG00000111144",35,1,"12",96000828,96043520,FALSE
"2208","YNL045W","ENSG00000176393",28,1,"1",201982372,202006147,FALSE
"2209","YNL045W","ENSG00000142327",18,1,"2",240565804,240581372,FALSE
"2210","YNL045W","ENSG00000148120",17,1,"9",94726701,95087218,FALSE
"2212","YPR141C","ENSG00000167702",19,1,"8",144466043,144474202,FALSE
"2213","YPR141C","ENSG00000237649",25,1,"6",33391536,33409924,FALSE
"2214","YPR141C","ENSG00000140859",27,1,"16",57758217,57863053,FALSE
"2215","YPR141C","ENSG00000125337",14,1,"6",167996241,168045089,FALSE
"2217","YIL104C","ENSG00000144736",23,1,"3",72749277,72861914,TRUE
"2223","YBR243C","ENSG00000172269",38,1,"11",119096503,119108331,TRUE
"2226","YGL137W","ENSG00000184432",43,1,"3",139355600,139389732,TRUE
"2227","YMR234W","ENSG00000171865",22,1,"2",3544793,3558616,FALSE
"2228","YMR234W","ENSG00000255767",5,1,"2",3531984,3547957,FALSE
"2233","YHR005C-A","ENSG00000134809",33,1,"11",57528463,57530803,TRUE
"2236","YJL134W","ENSG00000163082",19,1,"2",222424517,222560948,FALSE
"2237","YJL134W","ENSG00000126821",22,1,"14",63684214,63728039,FALSE
"2241","YDR080W","ENSG00000006715",22,1,"7",38722963,38932394,FALSE
"2252","YGR074W","ENSG00000167088",39,1,"18",21612267,21633524,TRUE
"2254","YGL180W","ENSG00000163482",18,1,"2",218672026,218702716,FALSE
"2255","YGL180W","ENSG00000140474",15,1,"15",74836116,74843346,FALSE
"2256","YGL180W","ENSG00000104365",12,1,"8",42271302,42332653,FALSE
"2257","YGL180W","ENSG00000183735",12,1,"12",64451880,64502108,FALSE
"2258","YGL180W","ENSG00000213341",12,1,"10",100188298,100229619,FALSE
"2259","YGL180W","ENSG00000083290",24,1,"17",19770829,19867936,FALSE
"2260","YGL180W","ENSG00000177169",23,1,"12",131894651,131923167,FALSE
"2261","YGL180W","ENSG00000263528",11,1,"1",206470476,206496889,FALSE
"2264","YBR146W","ENSG00000135972",27,1,"2",105037983,105099960,FALSE
"2265","YDR017C","ENSG00000176095",10,1,"3",49724294,49786542,FALSE
"2266","YDR017C","ENSG00000161896",10,1,"6",33721667,33746985,FALSE
"2267","YDR017C","ENSG00000151151",5,1,"10",58191517,58267934,FALSE
"2268","YDR017C","ENSG00000068745",10,1,"3",48688003,48740353,FALSE
"2270","YHR011W","ENSG00000104835",32,1,"19",38915266,38930896,FALSE
"2271","YHR011W","ENSG00000269547",30,1,"19",38915404,38949855,FALSE
"2273","YPL043W","ENSG00000106344",27,1,"7",128297685,128343908,TRUE
"2278","YGL158W","ENSG00000099875",21,1,"19",2037465,2051244,FALSE
"2279","YGL158W","ENSG00000079277",22,1,"1",46557408,46616843,FALSE
"2280","YGL158W","ENSG00000089022",21,1,"12",111841978,111902238,FALSE
"2281","YGL158W","ENSG00000162889",20,1,"1",206684944,206734283,FALSE
"2282","YGL158W","ENSG00000114738",20,1,"3",50611520,50649297,FALSE
"2284","YLR348C","ENSG00000174032",29,1,"13",45393316,45418455,FALSE
"2285","YLR348C","ENSG00000183048",29,1,"17",81712236,81721016,FALSE
"2286","YLR348C","ENSG00000153291",30,1,"6",46652915,46678193,FALSE
"2287","YLR348C","ENSG00000109424",29,1,"4",140559434,140568805,FALSE
"2288","YLR348C","ENSG00000102078",29,1,"X",130339888,130373361,FALSE
"2289","YLR348C","ENSG00000175564",31,1,"11",74000281,74009435,FALSE
"2290","YLR348C","ENSG00000262660",32,1,"17",81703371,81720539,FALSE
"2291","YLR348C","ENSG00000108528",36,1,"17",4937130,4940251,FALSE
"2292","YLR348C","ENSG00000175567",30,1,"11",73974667,73983307,FALSE
"2296","YDR099W","ENSG00000128245",55,1,"22",31944461,31957603,FALSE
"2297","YDR099W","ENSG00000108953",69,1,"17",1344272,1400378,FALSE
"2298","YDR099W","ENSG00000175793",53,1,"1",26863138,26864457,FALSE
"2299","YDR099W","ENSG00000170027",56,1,"7",76326794,76359031,FALSE
"2300","YDR099W","ENSG00000166913",57,1,"20",44885676,44908532,FALSE
"2301","YDR099W","ENSG00000134308",54,1,"2",9583972,9631014,FALSE
"2302","YDR099W","ENSG00000164924",58,1,"8",100916525,100953388,FALSE
"2307","YMR216C","ENSG00000096063",30,1,"6",35832966,35921342,FALSE
"2308","YMR216C","ENSG00000135250",29,1,"7",105110704,105399308,FALSE
"2309","YMR216C","ENSG00000184343",28,1,"X",153776412,153785732,FALSE
"2312","YLR196W","ENSG00000136045",32,1,"12",107685732,107713167,TRUE
"2318","YHL004W","ENSG00000122140",19,1,"9",135499984,135504673,FALSE
"2320","YBR073W","ENSG00000197275",33,1,"8",94371960,94475109,FALSE
"2321","YDR449C","ENSG00000108651",23,1,"17",31860899,31901765,TRUE
"2326","YNL161W","ENSG00000171219",20,1,"11",64823387,64844569,TRUE
"2327","YNL161W","ENSG00000211455",31,1,"12",27243968,27325959,TRUE
"2328","YNL161W","ENSG00000150457",32,1,"13",20973032,21061547,TRUE
"2329","YNL161W","ENSG00000131023",30,1,"6",149658153,149718256,TRUE
"2330","YNL161W","ENSG00000134318",20,1,"2",11179761,11348330,TRUE
"2331","YNL161W","ENSG00000122966",19,1,"12",119685790,119877291,TRUE
"2332","YNL161W","ENSG00000198752",21,1,"14",102932379,103057462,TRUE
"2333","YNL161W","ENSG00000143776",21,1,"1",226989865,227318474,TRUE
"2334","YNL161W","ENSG00000104936",19,1,"19",45769717,45782552,TRUE
"2335","YNL161W","ENSG00000112079",30,1,"6",36493892,36547470,TRUE
"2336","YNL161W","ENSG00000067900",21,1,"18",20946906,21111851,TRUE
"2338","YDL052C","ENSG00000169692",23,1,"9",136673143,136687423,FALSE
"2339","YDL052C","ENSG00000204310",24,1,"6",32168212,32178096,FALSE
"2342","YFR031C","ENSG00000136824",36,1,"9",104094260,104141417,TRUE
"2344","YBR084C-A","ENSG00000108298",57,1,"17",39200283,39204727,FALSE
"2348","YPR051W","ENSG00000139977",43,1,"14",57390544,57415917,FALSE
"2349","YCR094W","ENSG00000235156",4,1,"3",100185824,100194191,FALSE
"2350","YCR094W","ENSG00000112697",30,1,"6",75252924,75284968,FALSE
"2351","YCR094W","ENSG00000182107",30,1,"14",61277370,61281840,FALSE
"2352","YLR253W","ENSG00000063761",28,1,"14",77800083,77935012,FALSE
"2353","YLR253W","ENSG00000173137",24,1,"8",144373101,144393242,FALSE
"2354","YOR285W","ENSG00000215845",22,1,"1",161037631,161038990,FALSE
"2355","YJL001W","ENSG00000240065",43,1,"6",32844136,32859585,TRUE
"2356","YJL001W","ENSG00000142507",52,1,"17",4796144,4798503,TRUE
"2359","YGL237C","ENSG00000001167",29,1,"6",41072945,41099976,FALSE
"2363","YDR120C","ENSG00000121486",19,1,"1",185118098,185157072,FALSE
"2364","YDR120C","ENSG00000104907",34,1,"19",13104902,13117567,FALSE
"2368","YER126C","ENSG00000164346",62,1,"5",74766991,74780113,TRUE
"2369","YMR246W","ENSG00000068366",30,1,"X",109624244,109733403,FALSE
"2370","YMR246W","ENSG00000123983",30,1,"2",222860934,222944639,FALSE
"2371","YLR201C","ENSG00000088682",24,1,"16",57447425,57461275,FALSE
"2372","YPL031C","ENSG00000138395",50,1,"2",201790461,201895550,FALSE
"2373","YPL031C","ENSG00000102225",52,1,"X",47217860,47229997,FALSE
"2374","YPL031C","ENSG00000059758",49,1,"12",96278261,96400560,FALSE
"2375","YPL031C","ENSG00000058091",51,1,"7",90466424,91210590,FALSE
"2376","YPL031C","ENSG00000117266",51,1,"1",205504595,205532793,FALSE
"2377","YJL098W","ENSG00000100239",10,1,"22",50343304,50445090,FALSE
"2378","YJL098W","ENSG00000110075",10,1,"11",68460731,68615334,FALSE
"2379","YJL098W","ENSG00000105063",11,1,"19",55229780,55258995,FALSE
"2381","YBR059C","ENSG00000115977",14,1,"2",69457997,69674349,FALSE
"2382","YBR059C","ENSG00000138756",14,1,"4",78776342,78916372,FALSE
"2383","YBR059C","ENSG00000116675",8,1,"1",65248219,65415869,FALSE
"2384","YBR059C","ENSG00000178950",15,1,"4",849276,932373,FALSE
"2387","YGR020C","ENSG00000128524",52,1,"7",128862826,128865844,FALSE
"2388","YHR091C","ENSG00000113643",24,1,"5",168486445,168519299,FALSE
"2389","YHR091C","ENSG00000146282",34,1,"6",87514378,87590003,FALSE
"2394","YNL088W","ENSG00000131747",43,1,"17",40388516,40417950,TRUE
"2395","YNL088W","ENSG00000077097",44,1,"3",25597905,25664907,TRUE
"2400","YBR231C","ENSG00000153774",23,1,"16",75293698,75433485,FALSE
"2401","YDL120W","ENSG00000165060",30,1,"9",69035259,69100178,TRUE
"2402","YER082C","ENSG00000227057",37,1,"6",33279108,33289527,TRUE
"2405","YFR021W","ENSG00000157954",27,1,"7",5190188,5233826,FALSE
"2406","YFR021W","ENSG00000070540",25,1,"17",68420948,68457513,FALSE
"2407","YML121W","ENSG00000083750",52,1,"X",55717739,55758774,FALSE
"2408","YML121W","ENSG00000155876",52,1,"9",19049395,19050983,FALSE
"2410","YLR310C","ENSG00000136828",6,1,"9",126914774,127223166,TRUE
"2411","YLR310C","ENSG00000107263",10,1,"9",131576770,131740074,TRUE
"2412","YLR310C","ENSG00000108352",4,1,"17",40177010,40195656,TRUE
"2413","YLR310C","ENSG00000068831",5,1,"11",64726911,64745456,TRUE
"2414","YLR310C","ENSG00000109756",8,1,"4",159104178,159360169,TRUE
"2415","YLR310C","ENSG00000172575",5,1,"15",38488103,38565575,TRUE
"2416","YLR310C","ENSG00000146090",5,1,"5",180100791,180209153,TRUE
"2417","YLR310C","ENSG00000136237",7,1,"7",22118238,22357144,TRUE
"2418","YLR310C","ENSG00000113319",10,1,"5",80960672,81230156,TRUE
"2419","YLR310C","ENSG00000198915",5,1,"10",43194535,43266919,TRUE
"2420","YLR310C","ENSG00000079337",7,1,"12",47734367,47771040,TRUE
"2421","YLR310C","ENSG00000115904",17,1,"2",38981396,39124345,TRUE
"2422","YLR310C","ENSG00000158987",8,1,"5",131423921,131635236,TRUE
"2423","YLR310C","ENSG00000281164",7,1,"5",131427266,131635030,TRUE
"2424","YLR310C","ENSG00000138670",6,1,"4",81426393,82044244,TRUE
"2425","YLR310C","ENSG00000152689",5,1,"2",33436324,33564750,TRUE
"2426","YLR310C","ENSG00000100485",17,1,"14",50117120,50231558,TRUE
"2427","YLR310C","ENSG00000273217",8,1,"5",131425891,131796983,TRUE
"2428","YLR310C","ENSG00000116191",5,1,"1",178725147,178921841,TRUE
"2429","YLR310C","ENSG00000171777",5,1,"19",38409051,38426305,TRUE
"2430","YLR310C","ENSG00000058335",10,1,"15",78959947,79090773,TRUE
"2431","YLR310C","ENSG00000091428",7,1,"2",172735274,173052893,TRUE
"2434","YGR244C","ENSG00000172340",42,1,"3",67360460,67654614,FALSE
"2435","YGR244C","ENSG00000136143",45,1,"13",47936487,48001326,FALSE
"2438","YHR046C","ENSG00000141401",28,1,"18",11981025,12030883,FALSE
"2439","YHR046C","ENSG00000133731",30,1,"8",81657961,81686693,FALSE
"2440","YKR071C","ENSG00000005194",24,1,"16",57428169,57447528,TRUE
"2442","YGR063C","ENSG00000213246",44,1,"17",58345175,58353093,FALSE
"2446","YAR003W","ENSG00000117222",29,1,"1",205086142,205122015,FALSE
"2447","YGR223C","ENSG00000141580",27,1,"17",82614562,82648553,FALSE
"2448","YGR223C","ENSG00000250232",17,1,"X",49071726,49079887,FALSE
"2449","YGR223C","ENSG00000196998",25,1,"X",49074433,49101170,FALSE
"2454","YPL093W","ENSG00000107937",46,1,"10",988019,1019936,TRUE
"2456","YNL077W","ENSG00000007923",18,1,"1",6634168,6701924,FALSE
"2457","YPL160W","ENSG00000133706",45,1,"5",146113038,146182660,TRUE
"2459","YDR456W","ENSG00000065923",30,1,"X",46599252,46759172,FALSE
"2460","YDR456W","ENSG00000180251",21,1,"2",102473303,102533972,FALSE
"2461","YDR456W","ENSG00000198689",30,1,"X",135985424,136047269,FALSE
"2462","YDR456W","ENSG00000181804",29,1,"3",143265222,143848531,FALSE
"2463","YDR456W","ENSG00000115616",22,1,"2",102619707,102711318,FALSE
"2464","YDR456W","ENSG00000135740",21,1,"16",67237683,67272190,FALSE
"2465","YDR456W","ENSG00000066230",21,1,"5",473310,524332,FALSE
"2466","YDR456W","ENSG00000090020",20,1,"1",27098815,27166981,FALSE
"2467","YDR456W","ENSG00000197818",24,1,"20",49812713,49892242,FALSE
"2469","YGL190C","ENSG00000156475",45,1,"5",146581146,147084784,FALSE
"2470","YGL190C","ENSG00000074211",43,1,"4",6320578,6563600,FALSE
"2471","YGL190C","ENSG00000221914",45,1,"8",26291491,26372680,FALSE
"2472","YGL190C","ENSG00000175470",46,1,"10",131900644,131959834,FALSE
"2474","YOR101W","ENSG00000133703",35,1,"12",25204789,25250936,FALSE
"2475","YOR101W","ENSG00000126458",33,1,"19",49635292,49640201,FALSE
"2476","YOR101W","ENSG00000088320",19,1,"20",31475293,31484905,FALSE
"2477","YOR101W","ENSG00000164949",19,1,"8",94249253,94262350,FALSE
"2478","YOR101W","ENSG00000139890",19,1,"14",22883165,22887686,FALSE
"2479","YOR101W","ENSG00000144118",28,1,"2",120240064,120294713,FALSE
"2480","YOR101W","ENSG00000133818",36,1,"11",14277926,14364506,FALSE
"2481","YOR101W","ENSG00000158186",32,1,"3",138347648,138405534,FALSE
"2482","YOR101W","ENSG00000006451",29,1,"7",39623483,39708124,FALSE
"2483","YOR101W","ENSG00000166592",19,1,"16",66921679,66925644,FALSE
"2484","YOR101W","ENSG00000187682",23,1,"X",48828873,48830138,FALSE
"2485","YOR101W","ENSG00000213281",35,1,"1",114704469,114716894,FALSE
"2486","YOR101W","ENSG00000174775",34,1,"11",532242,537287,FALSE
"2489","YBL019W","ENSG00000169188",18,1,"X",55000357,55009057,FALSE
"2490","YBL019W","ENSG00000100823",13,1,"14",20455191,20457772,FALSE
"2495","YOL094C","ENSG00000049541",59,1,"7",74231499,74254458,TRUE
"2496","YMR077C","ENSG00000176108",27,1,"17",80991598,81009517,FALSE
"2500","YJL033W","ENSG00000178105",40,1,"11",108665025,108940930,TRUE
"2503","YEL041W","ENSG00000008130",29,1,"1",1751232,1780457,FALSE
"2504","YGL208W","ENSG00000111725",19,1,"12",119667753,119681630,FALSE
"2505","YGL208W","ENSG00000131791",20,1,"1",147155106,147172550,FALSE
"2507","YNL113W","ENSG00000186184",38,1,"13",27620742,27667415,TRUE
"2508","YKR099W","ENSG00000165684",10,1,"9",136375577,136398797,FALSE
"2509","YKR099W","ENSG00000101057",7,1,"20",43667019,43716496,FALSE
"2510","YKR099W","ENSG00000118513",8,1,"6",135181315,135219173,FALSE
"2511","YKR099W","ENSG00000185697",7,1,"8",66562175,66614247,FALSE
"2515","YNL031C","ENSG00000188375",86,1,"12",31791185,31792241,FALSE
"2522","YGR048W","ENSG00000070010",34,1,"22",19449910,19479215,TRUE
"2527","YBR220C","ENSG00000169359",30,1,"3",155821024,155854429,FALSE
"2531","YBR227C","ENSG00000166855",37,1,"15",65148219,65185342,FALSE
"2532","YER165W","ENSG00000070756",48,1,"8",100685816,100722809,TRUE
"2533","YER165W","ENSG00000174740",30,1,"X",91434595,91438584,TRUE
"2534","YER165W","ENSG00000107105",10,1,"9",23690104,23826337,TRUE
"2535","YER165W","ENSG00000101104",45,1,"20",44910062,44959035,TRUE
"2536","YER165W","ENSG00000144642",12,1,"3",29280982,30010391,TRUE
"2537","YER165W","ENSG00000076067",12,1,"12",56521929,56596196,TRUE
"2538","YER165W","ENSG00000254535",32,1,"4",134196333,134201748,TRUE
"2539","YER165W","ENSG00000151846",46,1,"13",25095868,25099254,TRUE
"2540","YER165W","ENSG00000162374",10,1,"1",50048014,50203786,TRUE
"2541","YER165W","ENSG00000090621",47,1,"1",39560816,39576790,TRUE
"2542","YER165W","ENSG00000184388",19,1,"X",73003517,73005713,TRUE
"2543","YER165W","ENSG00000186288",19,1,"X",73077276,73079512,TRUE
"2544","YER165W","ENSG00000196361",10,1,"19",11451326,11481046,TRUE
"2545","YER165W","ENSG00000153250",12,1,"2",160272151,160493794,TRUE
"2546","YER165W","ENSG00000066044",9,1,"19",7958579,8445041,TRUE
"2549","YOR130C","ENSG00000120329",30,1,"5",141302629,141304045,FALSE
"2550","YOR130C","ENSG00000102743",30,1,"13",40789412,40810111,FALSE
"2553","YER016W","ENSG00000166974",25,1,"18",34976928,35143470,FALSE
"2554","YER016W","ENSG00000101367",25,1,"20",32819893,32850405,FALSE
"2555","YER016W","ENSG00000084764",25,1,"2",26970612,27027196,FALSE
"2557","YNL242W","ENSG00000066739",13,1,"14",96279202,96363870,FALSE
"2558","YNL242W","ENSG00000110046",12,1,"11",64894546,64917248,FALSE
"2562","YNL297C","ENSG00000061987",20,1,"12",62466817,62600479,FALSE
"2565","YEL002C","ENSG00000244038",25,1,"1",20651767,20661544,TRUE
"2572","YDR510W","ENSG00000116030",46,1,"2",202206180,202238608,TRUE
"2573","YDR510W","ENSG00000188612",41,1,"17",75165586,75182983,TRUE
"2574","YDR510W","ENSG00000177688",37,1,"6",149400227,149401292,TRUE
"2575","YDR510W","ENSG00000184900",42,1,"21",44805617,44818779,TRUE
"2581","YLR142W","ENSG00000277196",19,1,"KI270734.1",138082,161852,FALSE
"2582","YLR142W","ENSG00000250799",18,1,"19",35799988,35813299,FALSE
"2583","YLR142W","ENSG00000100033",19,1,"22",18912777,18936553,FALSE
"2586","YNL222W","ENSG00000160075",41,1,"1",1541673,1574869,TRUE
"2587","YKR051W","ENSG00000164855",21,1,"7",1542235,1560821,FALSE
"2588","YKR051W","ENSG00000198792",21,1,"22",38219291,38273034,FALSE
"2589","YKR051W","ENSG00000164168",22,1,"4",147617383,147672044,FALSE
"2590","YLR291C","ENSG00000119718",31,1,"14",75002911,75012366,TRUE
"2593","YFR040W","ENSG00000100239",10,1,"22",50343304,50445090,FALSE
"2594","YFR040W","ENSG00000110075",10,1,"11",68460731,68615334,FALSE
"2595","YFR040W","ENSG00000105063",9,1,"19",55229780,55258995,FALSE
"2599","YML021C","ENSG00000076248",37,1,"12",109097574,109110992,FALSE
"2605","YER173W","ENSG00000152942",18,1,"5",69369293,69414801,FALSE
"2614","YDR418W","ENSG00000197958",64,1,"9",127447674,127451405,FALSE
"2621","YJR040W","ENSG00000171365",32,1,"X",49922615,50099235,FALSE
"2622","YJR040W","ENSG00000184908",15,1,"1",16043736,16057308,FALSE
"2623","YJR040W","ENSG00000186510",15,1,"1",16018875,16034050,FALSE
"2624","YJR040W","ENSG00000073464",32,1,"X",10156945,10237660,FALSE
"2625","YJR040W","ENSG00000114859",17,1,"3",184346185,184361651,FALSE
"2626","YJR040W","ENSG00000109572",32,1,"4",169612633,169723673,FALSE
"2627","YJR040W","ENSG00000011021",20,1,"1",11806096,11843144,FALSE
"2628","YJR040W","ENSG00000103249",21,1,"16",1444934,1475580,FALSE
"2629","YJR040W","ENSG00000188037",18,1,"7",143316126,143352083,FALSE
"2634","YGR271W","ENSG00000130997",4,1,"4",2071918,2242121,FALSE
"2635","YGR271W","ENSG00000112249",43,1,"6",100508194,100881372,FALSE
"2636","YGR271W","ENSG00000144028",36,1,"2",96274336,96305515,FALSE
"2637","YGR271W","ENSG00000051341",13,1,"3",121431427,121546641,FALSE
"2638","YGR271W","ENSG00000163312",9,1,"4",83407343,83455856,FALSE
"2639","YGR173W","ENSG00000108591",58,1,"17",18087886,18107971,FALSE
"2645","YOR027W","ENSG00000104450",15,1,"8",100157906,100259278,FALSE
"2646","YOR027W","ENSG00000168439",36,1,"11",64185272,64204543,FALSE
"2647","YOR027W","ENSG00000005175",15,1,"12",47661249,47706061,FALSE
"2648","YOR027W","ENSG00000025772",6,1,"20",44942130,44960486,FALSE
"2649","YER048W-A","ENSG00000214113",32,1,"6",5102593,5260939,TRUE
"2652","YHR164C","ENSG00000138346",23,1,"10",68414064,68472121,TRUE
"2653","YGR278W","ENSG00000163510",29,1,"2",179944876,180007113,TRUE
"2654","Q0085","ENSG00000198899",27,1,"MT",8527,9207,FALSE
"2662","YDL055C","ENSG00000173540",58,1,"3",49716844,49723951,TRUE
"2663","YDL055C","ENSG00000144591",36,1,"2",219498867,219506988,TRUE
"2664","YPR080W","ENSG00000156508",81,1,"6",73515750,73523797,FALSE
"2665","YPR080W","ENSG00000101210",80,1,"20",63488013,63499315,FALSE
"2666","YFL017W-A","ENSG00000143977",49,1,"2",70281362,70293771,FALSE
"2668","YGL127C","ENSG00000108590",31,1,"17",6643315,6651634,FALSE
"2671","YHL033C","ENSG00000148303",57,1,"9",133348214,133351426,FALSE
"2678","YPL263C","ENSG00000104731",24,1,"16",87696485,87765992,FALSE
"2681","YIL128W","ENSG00000155229",22,1,"10",97458324,97498794,FALSE
"2682","YDR311W","ENSG00000110768",16,1,"11",18322295,18367044,TRUE
"2683","YKL088W","ENSG00000138621",13,1,"15",75023555,75117462,TRUE
"2684","YJL046W","ENSG00000144182",24,1,"2",99154955,99163157,FALSE
"2687","YKL056C","ENSG00000133112",42,1,"13",45333471,45341370,FALSE
"2688","YPL037C","ENSG00000134717",38,1,"1",52056125,52090716,FALSE
"2689","YPL037C","ENSG00000145741",35,1,"5",73498408,73505635,FALSE
"2691","YOR357C","ENSG00000112335",38,1,"6",108211222,108261260,FALSE
"2692","YOR357C","ENSG00000147164",35,1,"X",71056332,71073426,FALSE
"2693","YOR357C","ENSG00000002919",28,1,"17",48103357,48123074,FALSE
"2694","YOR357C","ENSG00000086300",25,1,"7",26291895,26374329,FALSE
"2697","YGL068W","ENSG00000262814",38,1,"17",81703357,81707526,TRUE
"2701","YOR007C","ENSG00000197860",25,1,"5",65665928,65723035,FALSE
"2702","YOR007C","ENSG00000149292",18,1,"11",113314529,113383544,FALSE
"2703","YOR007C","ENSG00000104969",27,1,"19",2754714,2783371,FALSE
"2704","YJL029C","ENSG00000141252",20,1,"17",508668,721717,FALSE
"2705","YBR105C","ENSG00000141034",22,1,"17",18039292,18068404,FALSE
"2708","YGL200C","ENSG00000099203",20,1,"19",10832438,10836318,FALSE
"2709","YGL200C","ENSG00000251201",22,1,"5",115578642,115626161,FALSE
"2710","YGL200C","ENSG00000166557",21,1,"15",79311062,79427432,FALSE
"2711","YGL200C","ENSG00000243414",5,1,"5",115578650,115602479,FALSE
