orf	gene	go_process	go_function	go_component	essential	het_ypd_A	het_ypd_B	HET_AV	slow_ypd_het	hom_ypd_C	hom_ypd_D	HOM_AV	slow_ypd_hom	het_mm_B	slow_mm_het	hom_mm_D	slow_mm_hom
YFL010C  	YFL010C   	response to dessication	molecular_function unknown	cytoplasm*	NO	1.013	1.003	1.008	no	1.010	1.011	1.010	no	0.689	no	0.995	NO
YFL010W-A	AUA1      	amino acid transport	molecular_function unknown	cellular_component unknown		ND	ND	ND	no	1.017	1.019	1.018	no	ND	no	0.995	NO
YFL011W  	HXT10     	hexose transport	glucose transporter activity*	plasma membrane	NO	0.985	0.980	0.983	no	1.000	1.011	1.006	no	1.004	no	0.998	NO
YFL012W  	YFL012W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	ND	ND	ND	no	0.984	1.018	1.001	no	ND	no	1.018	NO
YFL013C  	YFL013C   	chromatin remodeling	molecular_function unknown	nucleus*	NO	0.997	0.996	0.996	no	0.984	0.990	0.987	no	0.995	no	0.982	NO
YFL013W-A	YFL013W-A 				NO	0.987	1.000	0.993	no	1.003	0.992	0.998	no	1.004	no	0.989	NO
YFL014W  	HSP12     	response to oxidative stress*	heat shock protein activity	cytoplasm*	NO	0.982	1.013	0.998	no	1.017	1.009	1.013	no	1.013	no	1.019	NO
YFL015C  	YFL015C   				NO	0.976	0.994	0.985	no	1.019	1.026	1.022	no	0.968	no	1.023	NO
YFL016C  	MDJ1      	protein folding*	co-chaperone activity	mitochondrial inner membrane	NO	0.994	1.009	1.001	no	0.909	0.808	0.859	yes	1.002	no	0.790	YES
YFL017C  	GNA1      	UDP-N-acetylglucosamine biosynthesis	glucosamine 6-phosphate N-acetyltransferase activity	cytoplasm*	YES	0.966	0.981	0.973	no	ND	ND	ND	Essential	0.943	no	ND	Essential
YFL018C  	LPD1      	L-serine biosynthesis*	dihydrolipoamide dehydrogenase activity	mitochondrial matrix*	NO	0.971	0.996	0.981	no	0.905	0.815	0.860	yes	0.962	no	0.878	YES
YFL018W-A	YFL018W-A 				YES	0.993	0.979	0.988	no	ND	ND	ND	Essential	0.944	no	ND	Essential
YFL019C  	YFL019C   				NO	0.996	1.006	1.001	no	1.013	1.013	1.013	no	1.010	no	1.022	NO
YFL020C  	PAU5      	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.972	0.999	0.986	no	0.999	1.007	1.003	no	0.961	no	1.022	NO
YFL021W  	GAT1      	transcription initiation from Pol II promoter*	specific RNA polymerase II transcription factor activity*	nucleus	NO	0.969	0.985	0.977	no	1.018	1.022	1.020	no	0.991	no	1.023	NO
YFL022C  	FRS2      	phenylalanyl-tRNA aminoacylation	phenylalanine-tRNA ligase activity	cytoplasm*	YES	0.997	0.988	0.993	no	ND	ND	ND	Essential	0.997	no	ND	Essential
YFL023W  	YFL023W   	bud site selection	molecular_function unknown	cytoplasm	NO	0.944	0.979	0.962	no	0.899	0.857	0.878	yes	0.991	no	0.891	YES
YFL024C  	EPL1      	regulation of transcription from Pol II promoter*	histone acetyltransferase activity	histone acetyltransferase complex	YES	0.977	0.984	0.981	no	ND	ND	ND	Essential	0.952	no	ND	Essential
YFL025C  	BST1      	ER-associated protein catabolism*	molecular_function unknown	endoplasmic reticulum*	NO	0.975	0.991	0.983	no	0.875	0.897	0.886	yes	0.956	no	0.902	YES
YFL026W  	ste2      	response to pheromone during conjugation with cellular fusion*	mating-type alpha-factor pheromone receptor activity	integral to plasma membrane	NO	0.989	1.002	0.995	no	ND	ND	ND	no	1.011	no	ND	NO
YFL027C  	YFL027C   	vesicle-mediated transport	Rab GTPase activator activity	intracellular	NO	0.988	0.984	0.986	no	1.020	1.013	1.017	no	0.951	no	1.027	NO
YFL028C  	CAF16     	"regulation of transcription, DNA-dependent"	ATP-binding cassette (ABC) transporter activity	cytoplasm*	NO	1.024	0.988	1.006	no	1.020	1.016	1.018	no	0.995	no	1.024	NO
YFL029C  	CAK1      	protein amino acid phosphorylation*	protein kinase activity	cytoplasm	YES	1.004	1.006	1.005	no	ND	ND	ND	Essential	0.722	no	ND	Essential
YFL030W  	YFL030W   	glyoxylate cycle	alanine-glyoxylate transaminase activity	cellular_component unknown	NO	0.973	ND	0.973	no	1.006	1.013	1.009	no	ND	no	1.028	NO
YFL031W  	HAC1      	regulation of transcription from Pol II promoter*	specific RNA polymerase II transcription factor activity	nucleus	NO	0.990	0.958	0.974	no	1.022	1.019	1.021	no	0.929	no	1.005	NO
YFL032W  	YFL032W   				NO	0.993	0.989	0.991	no	1.026	1.012	1.019	no	0.970	no	1.009	NO
YFL033C  	RIM15     	protein amino acid phosphorylation*	protein kinase activity	cytoplasm	NO	0.992	1.008	1.000	no	1.020	1.010	1.015	no	1.022	no	0.982	NO
YFL034C-A	RPL22B    	protein biosynthesis	structural constituent of ribosome	cytosolic large ribosomal subunit (sensu Eukarya)		1.010	1.005	1.008	no	1.016	0.999	1.009	no	0.994	no	1.014	NO
YFL034W  	YFL034W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.963	0.972	0.968	no	1.012	1.027	1.019	no	0.947	no	1.035	NO
YFL035C  	YFL035C   				YES	0.992	0.976	0.984	no	ND	ND	ND	Essential	0.971	no	ND	Essential
YFL035C-A	YFL035C-A 				YES	0.970	0.999	0.985	no	ND	ND	ND	Essential	1.014	no	ND	Essential
YFL035C-B	YFL035C-B 				NO	0.976	0.961	0.970	no	1.013	1.013	1.013	no	0.976	no	1.024	NO
YFL036W  	RPO41     	mitochondrial genome maintenance*	DNA-directed RNA polymerase activity	mitochondrial matrix	NO	0.998	0.968	0.983	no	0.865	0.824	0.845	yes	0.949	no	0.846	YES
YFL037W  	tub2      	mitotic chromosome segregation*	structural constituent of cytoskeleton	spindle pole body*	YES	0.980	0.985	0.983	no	ND	ND	ND	Essential	0.974	no	ND	Essential
YFL038C  	YPT1      	ER to Golgi transport*	RAB small monomeric GTPase activity	endoplasmic reticulum membrane*	YES	0.997	0.984	0.991	no	ND	ND	ND	Essential	0.988	no	ND	Essential
YFL039C  	act1      	cell wall organization and biogenesis*	structural constituent of cytoskeleton	actin cortical patch (sensu Saccharomyces)*	YES	0.830	0.903	0.866	yes	ND	ND	ND	Essential	0.940	yes	ND	Essential
YFL040W  	YFL040W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.982	0.987	0.985	no	1.018	1.010	1.014	no	0.966	no	1.013	NO
YFL041W  	FET5      	iron ion transport	ferroxidase activity	membrane fraction	NO	0.971	0.972	0.971	no	1.018	1.010	1.014	no	0.945	no	1.014	NO
YFL042C  	YFL042C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.978	1.016	0.997	no	1.015	1.013	1.014	no	0.810	no	1.039	NO
YFL043C  	YFL043C   				NO	0.962	0.987	0.975	no	1.023	1.022	1.023	no	0.971	no	1.032	NO
YFL044C  	YFL044C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.962	0.982	0.972	no	0.998	1.021	1.009	no	0.964	no	1.012	NO
YFL045C  	SEC53     	protein-ER targeting	phosphomannomutase activity	cytosol	YES	0.955	0.996	0.973	no	ND	ND	ND	Essential	0.985	no	ND	Essential
YFL046W  	YFL046W   	biological_process unknown	molecular_function unknown	mitochondrion	NO	0.990	0.998	0.994	no	1.015	1.018	1.017	no	0.986	no	1.021	NO
YFL047W  	YFL047W   	small GTPase mediated signal transduction	Rho GTPase activator activity	cytoplasm*	NO	0.984	0.999	0.990	no	1.027	1.014	1.020	no	0.979	no	1.030	NO
YFL048C  	EMP47     	ER to Golgi transport	molecular_function unknown	Golgi apparatus*	NO	0.949	0.973	0.961	no	0.991	1.013	1.002	no	0.976	no	1.008	NO
YFL049W  	YFL049W   	biological_process unknown	molecular_function unknown	nucleus	NO	0.973	0.975	0.974	no	1.017	1.020	1.019	no	0.965	no	1.000	NO
YFL050C  	ALR2      	"di-, tri-valent inorganic cation transport*"	"di-, tri-valent inorganic cation transporter activity"	plasma membrane	NO	0.958	0.995	0.976	no	1.016	1.021	1.019	no	0.942	no	1.041	NO
YFL051C  	YFL051C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.984	0.974	0.979	no	1.014	1.016	1.015	no	0.988	no	1.003	NO
YFL052W  	YFL052W   	biological_process unknown	DNA binding	cellular_component unknown	NO	0.983	0.981	0.982	no	1.016	1.015	1.015	no	0.968	no	1.019	NO
YFL053W  	DAK2      	response to stress*	glycerone kinase activity	cellular_component unknown	NO	0.967	0.971	0.969	no	1.012	1.025	1.018	no	0.933	no	1.037	NO
YFL054C  	YFL054C   	water transport	transporter activity*	integral to membrane	NO	0.984	0.977	0.981	no	1.023	1.019	1.021	no	0.954	no	1.034	NO
YFL055W  	AGP3      	amino acid transport	amino acid transporter activity	plasma membrane	NO	0.968	1.000	0.984	no	1.027	1.026	1.026	no	0.970	no	1.039	NO
YFL056C  	aad6      	aldehyde metabolism	aryl-alcohol dehydrogenase activity	cellular_component unknown	NO	0.985	1.005	0.993	no	1.003	1.002	1.003	no	0.976	no	1.028	NO
YFL060C  	SNO3      	thiamin biosynthesis*	molecular_function unknown	cellular_component unknown	NO	0.984	1.007	0.991	no	ND	ND	ND	no	1.002	no	ND	NO
YFL063W  	YFL063W   				NO	1.010	0.993	1.000	no	1.025	1.013	1.019	no	0.990	no	1.016	NO
YFR001W  	LOC1      	ribosomal large subunit biogenesis	mRNA binding	nucleus	NO	0.974	0.949	0.962	yes	0.821	0.848	0.834	yes	0.977	no	0.836	YES
YFR002W  	NIC96     	mRNA-nucleus export*	structural molecule activity	nuclear pore	YES	0.977	0.941	0.959	yes	ND	ND	ND	Essential	1.029	no	ND	Essential
YFR003C  	YFR003C   	protein amino acid dephosphorylation*	protein phosphatase inhibitor activity	cellular_component unknown	YES	0.979	0.981	0.980	no	ND	ND	ND	Essential	0.958	no	ND	Essential
YFR004W  	RPN11     	ubiquitin-dependent protein catabolism	endopeptidase activity	"proteasome regulatory particle, lid subcomplex (sensu Eukarya)"	YES	0.973	0.968	0.971	yes	ND	ND	ND	Essential	0.942	yes	ND	Essential
YFR005C  	SAD1      	"nuclear mRNA splicing, via spliceosome"	pre-mRNA splicing factor activity	nucleus	YES	0.989	1.019	1.004	no	ND	ND	ND	Essential	0.975	no	ND	Essential
YFR006W  	YFR006W   	biological_process unknown	Xaa-Pro aminopeptidase activity	cytoplasm	NO	0.983	0.995	0.988	no	1.027	1.014	1.020	no	0.970	no	1.029	NO
YFR007W  	YFR007W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.976	0.988	0.982	no	1.008	1.002	1.005	no	0.987	no	1.024	NO
YFR008W  	YFR008W   	cell cycle arrest in response to pheromone	molecular_function unknown	cellular_component unknown	NO	0.981	0.985	0.983	no	0.997	1.011	1.004	no	0.978	no	1.028	NO
YFR009W  	GCN20     	regulation of translational elongation	molecular_function unknown	cytosol*	NO	0.991	0.988	0.989	no	1.012	1.009	1.010	no	0.997	no	0.972	NO
YFR010W  	UBP6      	protein deubiquitination	ubiquitin-specific protease activity	proteasome regulatory particle (sensu Eukarya)	NO	1.011	1.001	1.006	no	0.984	0.999	0.992	no	1.008	no	0.924	YES
YFR011C  	YFR011C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.988	1.003	0.995	no	1.023	1.020	1.022	no	1.000	no	1.035	NO
YFR012W  	YFR012W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.991	1.006	0.999	no	1.031	1.019	1.025	no	0.991	no	1.040	NO
YFR013W  	IOC3      	chromatin remodeling	protein binding	nucleus	NO	0.997	0.999	0.998	no	1.023	1.012	1.020	no	0.992	no	1.030	NO
YFR014C  	CMK1      	protein amino acid phosphorylation*	calmodulin-dependent protein kinase I activity	cytoplasm	NO	0.967	0.992	0.980	no	1.014	1.009	1.012	no	0.990	no	1.023	NO
YFR015C  	GSY1      	glycogen metabolism	glycogen (starch) synthase activity	cytoplasm	NO	0.989	0.984	0.987	no	1.016	1.009	1.013	no	0.999	no	1.026	NO
YFR016C  	YFR016C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.972	0.994	0.981	no	1.006	1.010	1.008	no	0.955	no	1.045	NO
YFR017C  	YFR017C   	biological_process unknown	molecular_function unknown	cytoplasm	NO	0.989	0.998	0.993	no	1.021	1.011	1.016	no	0.972	no	1.024	NO
YFR018C  	YFR018C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.961	0.971	0.964	no	0.999	1.029	1.011	no	0.988	no	1.008	NO
YFR019W  	FAB1      	response to stress*	1-phosphatidylinositol-3-phosphate 5-kinase activity	vacuolar membrane	NO	0.993	1.007	0.999	no	0.937	0.868	0.898	yes	1.007	no	0.803	YES
YFR020W  	YFR020W   				NO	0.977	0.996	0.984	no	1.012	1.021	1.016	no	0.959	no	1.026	NO
YFR021W  	YFR021W   	protein-vacuolar targeting*	molecular_function unknown	cytosol	NO	0.974	0.987	0.981	no	1.002	1.011	1.006	no	0.958	no	1.041	NO
YFR022W  	YFR022W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.987	0.986	0.986	no	1.018	1.018	1.018	no	0.965	no	1.018	NO
YFR023W  	PES4      	DNA dependent DNA replication	molecular_function unknown	cellular_component unknown	NO	0.973	0.992	0.982	no	1.017	1.011	1.014	no	0.967	no	1.028	NO
YFR024C  	YFR024C   				NO	0.994	0.999	0.996	no	1.020	1.020	1.020	no	1.009	no	1.023	NO
YFR024C-A	YFR024C-A 	actin filament organization	molecular_function unknown	cytoplasm*	NO	0.989	0.959	0.974	no	1.027	1.025	1.026	no	0.961	no	1.029	NO
YFR025C  	his2      	histidine biosynthesis	histidinol-phosphatase activity	cell	NO	0.984	1.006	0.995	no	1.014	1.011	1.013	no	1.010	no	1.018	NO
YFR026C  	YFR026C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.979	0.973	0.976	no	1.016	1.018	1.017	no	0.919	no	1.017	NO
YFR027W  	ECO1      	DNA repair*	acetyltransferase activity	nuclear chromatin	YES	0.985	0.972	0.979	no	ND	ND	ND	Essential	0.967	no	ND	Essential
YFR028C  	cdc14     	protein amino acid dephosphorylation*	protein phosphatase activity	nucleus*	YES	0.977	1.010	0.988	no	ND	ND	ND	Essential	1.005	no	ND	Essential
YFR029W  	PTR3      	chemosensory perception	amino acid binding	extrinsic to plasma membrane	YES	1.006	1.000	1.003	no	ND	ND	ND	Essential	0.735	no	ND	Essential
YFR030W  	met10     	sulfate assimilation	sulfite reductase (NADPH) activity	sulfite reductase complex (NADPH)	NO	1.012	1.011	1.012	no	0.997	1.023	1.010	no	1.014	no	0.770	YES
YFR031C  	SMC2      	mitotic chromosome segregation*	ATPase activity*	nuclear condensin complex	YES	0.988	1.007	0.997	no	ND	ND	ND	Essential	1.003	no	ND	Essential
YFR031C-A	RPL2A     	protein biosynthesis	structural constituent of ribosome	cytosolic large ribosomal subunit (sensu Eukarya)	NO	0.964	0.981	0.972	no	0.908	0.916	0.912	yes	0.985	no	0.982	NO
YFR032C  	YFR032C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.884	1.005	0.944	no	1.012	1.005	1.008	no	1.003	no	0.997	NO
YFR032C-A	RPL29     	protein biosynthesis	structural constituent of ribosome	cytoplasm*		0.899	0.987	0.943	no	0.912	0.932	0.922	yes	1.002	no	1.005	NO
YFR033C  	QCR6      	aerobic respiration*	ubiquinol-cytochrome-c reductase activity	mitochondrion*	NO	1.015	1.015	1.015	no	0.987	0.996	0.991	no	1.035	no	0.961	NO
YFR034C  	pho4      	phosphate metabolism*	transcription factor activity	cytoplasm*	NO	1.009	1.009	1.009	no	1.025	1.011	1.018	no	0.999	no	0.988	NO
YFR035C  	YFR035C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.011	1.005	1.008	no	1.011	1.006	1.009	no	1.006	no	1.002	NO
YFR036W  	cdc26     	ubiquitin-dependent protein catabolism*	protein binding*	anaphase-promoting complex	NO	1.015	1.009	1.012	no	1.012	0.994	1.003	no	0.997	no	0.987	NO
YFR037C  	RSC8      	chromatin remodeling	molecular_function unknown	nucleus*	YES	0.989	0.990	0.990	no	ND	ND	ND	Essential	0.983	no	ND	Essential
YFR038W  	YFR038W   	biological_process unknown	helicase activity	cellular_component unknown	NO	ND	0.976	0.976	no	1.001	1.011	1.006	no	0.951	no	1.004	NO
YFR039C  	YFR039C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.022	1.007	1.014	no	1.022	1.011	1.016	no	0.999	no	1.028	NO
YFR040W  	SAP155    	G1/S transition of mitotic cell cycle	protein serine/threonine phosphatase activity	cytoplasm	NO	1.023	1.005	1.014	no	0.947	0.927	0.937	yes	0.992	no	0.951	NO
YFR041C  	YFR041C   	biological_process unknown	molecular_function unknown	endoplasmic reticulum	NO	0.982	1.008	0.995	no	0.988	1.010	0.999	no	1.020	no	1.008	NO
YFR042W  	YFR042W   	biological_process unknown	molecular_function unknown	cellular_component unknown	YES	1.014	1.012	1.013	no	ND	ND	ND	Essential	1.009	no	ND	Essential
YFR043C  	YFR043C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.990	0.997	0.993	no	0.993	1.000	0.997	no	1.014	no	1.004	NO
YFR044C  	YFR044C   	biological_process unknown	molecular_function unknown	cytoplasm*	NO	0.878	1.008	0.952	no	0.983	0.995	0.989	no	1.013	no	1.017	NO
YFR045W  	YFR045W   	transport	transporter activity	mitochondrial inner membrane	NO	1.001	1.010	1.006	no	1.009	1.003	1.006	no	0.999	no	1.006	NO
YFR046C  	YFR046C   	meiosis*	molecular_function unknown	nucleus	NO	1.005	1.002	1.004	no	1.000	1.001	1.000	no	1.018	no	1.001	NO
YFR047C  	YFR047C   	nicotinamide adenine dinucleotide biosynthesis	nicotinate-nucleotide diphosphorylase (carboxylating) activity	cytoplasm*	NO	0.997	1.006	1.002	no	1.011	1.004	1.008	no	1.005	no	1.002	NO
YFR048W  	YFR048W   	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.008	1.006	1.008	no	0.975	0.995	0.983	no	1.006	no	0.991	NO
YFR049W  	YMR31     	protein biosynthesis	structural constituent of ribosome	mitochondrial small ribosomal subunit	NO	1.004	1.006	1.005	no	1.016	1.005	1.011	no	ND	no	1.005	NO
YFR050C  	PRE4      	ubiquitin-dependent protein catabolism	endopeptidase activity	proteasome core complex (sensu Eukarya)*	YES	0.987	0.991	0.989	no	ND	ND	ND	Essential	0.993	no	ND	Essential
YFR051C  	RET2      	ER to Golgi transport*	protein binding	COPI vesicle coat	YES	1.001	1.011	1.006	no	ND	ND	ND	Essential	1.013	no	ND	Essential
YFR052W  	RPN12     	ubiquitin-dependent protein catabolism	endopeptidase activity	proteasome regulatory particle (sensu Eukarya)	YES	1.007	1.001	1.004	no	ND	ND	ND	Essential	1.002	no	ND	Essential
YFR053C  	hxk1      	fructose metabolism	hexokinase activity	cytosol	NO	1.004	1.005	1.004	no	1.011	1.001	1.006	no	1.001	no	1.011	NO
YFR054C  	YFR054C   				NO	0.996	1.010	1.003	no	1.018	1.008	1.013	no	1.007	no	1.006	NO
YFR055W  	YFR055W   	copper ion homeostasis*	cystathionine beta-lyase activity	cellular_component unknown	NO	0.999	0.992	0.996	no	1.004	1.005	1.004	no	1.031	no	0.994	NO
YFR056C  	YFR056C   				NO	1.015	1.006	1.010	no	1.016	0.997	1.006	no	0.995	no	1.013	NO
YFR057W  	YFR057W   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	1.026	0.996	1.011	no	1.008	1.001	1.005	no	0.983	no	1.013	NO
YGL001C  	ERG26     	ergosterol biosynthesis	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	endoplasmic reticulum*	YES	0.988	1.013	1.000	no	ND	ND	ND	Essential	1.013	no	ND	Essential
YGL002W  	ERP6      	secretory pathway	molecular_function unknown	integral to membrane	NO	1.004	ND	1.004	no	1.001	0.987	0.995	no	ND	no	0.988	NO
YGL003C  	CDH1      	ubiquitin-dependent protein catabolism*	enzyme activator activity	cytoplasm*	NO	0.981	1.016	0.998	no	0.959	0.950	0.956	yes	1.012	no	0.957	NO
YGL004C  	YGL004C   	proteolysis and peptidolysis	endopeptidase activity	cytoplasm*	NO	1.018	1.014	1.016	no	1.026	0.992	1.011	no	1.011	no	0.966	NO
YGL005C  	YGL005C   	intra-Golgi transport	molecular_function unknown	Golgi transport complex	NO	0.960	1.015	0.988	no	0.953	0.966	0.960	no	1.014	no	0.976	NO
YGL006W  	PMC1      	calcium ion transport*	calcium-transporting ATPase activity	vacuolar membrane (sensu Fungi)	NO	0.871	0.898	0.880	no	1.005	1.001	1.003	no	0.921	no	0.988	NO
YGL007W  	YGL007W   				NO	1.008	1.014	1.011	no	0.996	0.969	0.984	no	0.947	no	0.783	YES
YGL008C  	PMA1      	regulation of pH*	"hydrogen-exporting ATPase activity, phosphorylative mechanism"	plasma membrane*	YES	1.000	1.004	1.002	no	ND	ND	ND	Essential	0.946	no	ND	Essential
YGL009C  	leu1      	leucine biosynthesis	3-isopropylmalate dehydratase activity	cytosol	NO	1.018	0.996	1.007	no	1.003	0.999	1.001	no	0.977	no	1.012	NO
YGL010W  	YGL010W   	biological_process unknown	molecular_function unknown	endoplasmic reticulum	NO	1.006	1.010	1.007	no	0.997	0.996	0.997	no	1.014	no	1.024	NO
YGL011C  	SCL1      	ubiquitin-dependent protein catabolism	endopeptidase activity	"proteasome core complex, alpha-subunit complex (sensu Eukarya)"	YES	1.001	0.999	1.000	no	ND	ND	ND	Essential	0.987	no	ND	Essential
YGL012W  	ERG4      	ergosterol biosynthesis	delta24(24-1) sterol reductase activity	endoplasmic reticulum	NO	1.028	1.017	1.022	no	0.956	0.903	0.934	yes	1.003	no	0.894	YES
YGL013C  	PDR1      	regulation of transcription from Pol II promoter*	DNA binding*	nucleus	NO	0.987	1.014	0.998	no	1.006	0.990	0.998	no	1.004	no	0.986	NO
YGL014W  	YGL014W   	"mRNA catabolism, deadenylation-dependent*"	mRNA binding	cytoplasm	NO	0.997	1.014	1.005	no	1.012	0.990	1.001	no	0.996	no	1.006	NO
YGL015C  	YGL015C   	biological_process unknown	molecular_function unknown	cellular_component unknown	NO	0.983	ND	0.983	no	0.965	0.994	0.977	no	ND	no	1.027	NO
YGL016W  	KAP122    	protein-nucleus import*	protein carrier activity	cytoplasm*	NO	0.984	1.009	0.996	no	0.981	0.954	0.967	no	0.990	no	0.940	YES
YGL017W  	ATE1      	ubiquitin-dependent protein catabolism*	arginyltransferase activity	cytoplasm	NO	1.016	1.010	1.013	no	1.018	0.997	1.007	no	0.990	no	1.008	NO
YGL018C  	JAC1      	aerobic respiration*	co-chaperone activity	mitochondrion	YES	1.006	1.001	1.003	no	ND	ND	ND	Essential	0.997	no	ND	Essential
YGL019W  	CKB1      	protein amino acid phosphorylation*	protein kinase CK2 activity	protein kinase CK2 complex	NO	1.009	1.010	1.010	no	0.994	0.970	0.982	no	1.003	no	0.942	YES
YGL020C  	YGL020C   	mitochondrion organization and biogenesis	molecular_function unknown	endoplasmic reticulum	NO	1.019	1.008	1.013	no	0.948	0.931	0.940	yes	1.005	no	0.872	YES
YGL021W  	ALK1      	mitosis	protein serine/threonine kinase activity	nucleus	NO	1.019	1.009	1.014	no	1.015	0.999	1.007	no	1.002	no	1.017	NO
YGL022W  	STT3      	N-linked glycosylation	dolichyl-diphosphooligosaccharide-protein glycosyltransferase activity	oligosaccharyl transferase complex	YES	1.014	1.012	1.013	no	ND	ND	ND	Essential	1.006	no	ND	Essential
YGL023C  	PIB2      	vesicle-mediated transport	phosphatidylinositol binding	late endosome	NO	ND	ND	ND	no	ND	ND	ND	no	ND	no	ND	NO
YGL024W  	YGL024W   				NO	1.016	1.010	1.013	no	ND	ND	ND	no	1.001	no	ND	NO
YGL025C  	PGD1      	transcription from Pol II promoter	RNA polymerase II transcription mediator activity	mediator complex	NO	1.007	1.010	1.009	no	0.910	0.895	0.902	yes	0.997	no	0.786	YES
YGL026C  	trp5      	tryptophan biosynthesis	tryptophan synthase activity	cytoplasm*	NO	1.017	1.008	1.013	no	0.988	0.962	0.975	no	1.001	no	0.694	YES
YGL027C  	CWH41     	cell wall organization and biogenesis	mannosyl-oligosaccharide glucosidase activity	endoplasmic reticulum membrane	NO	1.017	1.011	1.016	no	1.005	0.987	0.998	no	1.001	no	0.987	NO
YGL028C  	SCW11     	"cytokinesis, completion of separation"	"glucan 1,3-beta-glucosidase activity"	cell wall (sensu Fungi)	NO	0.998	1.007	1.002	no	1.015	0.999	1.007	no	0.994	no	1.020	NO
YGL029W  	CGR1      	rRNA processing*	molecular_function unknown	nucleolus	NO	1.003	0.998	1.001	no	ND	ND	ND	no	0.998	no	ND	NO
YGL030W  	RPL30     	protein biosynthesis*	structural constituent of ribosome	cytoplasm*	YES	0.914	0.899	0.907	yes	ND	ND	ND	Essential	0.973	no	ND	Essential
YGL031C  	RPL24A    	protein biosynthesis	structural constituent of ribosome*	cytosolic large ribosomal subunit (sensu Eukarya)	NO	0.979	0.958	0.969	yes	0.908	0.870	0.889	yes	0.985	no	0.944	YES
YGL032C  	aga2      	agglutination during conjugation with cellular fusion	cell adhesion receptor activity	cell wall (sensu Fungi)	NO	ND	0.945	0.945	no	1.000	1.003	1.001	no	0.917	no	0.990	NO
YGL033W  	HOP2      	synapsis	molecular_function unknown	condensed nuclear chromosome	NO	1.008	1.003	1.005	no	1.012	0.996	1.004	no	0.990	no	0.997	NO
YGL034C  	YGL034C   				NO	1.027	1.015	1.021	no	1.027	0.995	1.011	no	1.015	no	1.012	NO
YGL035C  	mig1      	regulation of transcription from Pol II promoter*	specific RNA polymerase II transcription factor activity	cytoplasm*	NO	0.976	ND	0.976	no	0.969	0.996	0.978	no	ND	no	1.038	NO
YGL036W  	MTC2      	biological_process unknown	molecular_function unknown	cytoplasm	NO	1.002	ND	1.002	no	ND	ND	ND	no	ND	no	ND	NO
YGL037C  	PNC1      	chromatin silencing at telomere*	nicotinamidase activity	cytoplasm*	NO	1.008	1.011	1.010	no	1.016	0.991	1.004	no	0.990	no	0.988	NO
YGL038C  	och1      	N-linked glycoprotein maturation	"alpha-1,6-mannosyltransferase activity*"	Golgi cis cisterna	NO	1.010	1.008	1.009	no	0.896	0.885	0.890	yes	0.999	no	0.761	YES
YGL039W  	YGL039W   	biological_process unknown	oxidoreductase activity*	cytoplasm	NO	1.014	1.010	1.012	no	1.013	0.998	1.005	no	1.003	no	1.003	NO
YGL040C  	HEM2      	heme biosynthesis	porphobilinogen synthase activity	cytoplasm*	YES	1.009	1.008	1.009	no	ND	ND	ND	Essential	0.985	no	ND	Essential
YGL041C  	YGL041C   				NO	1.015	1.010	1.013	no	ND	ND	ND	no	1.001	no	ND	NO
YGL042C  	YGL042C   				NO	0.899	1.012	0.956	no	0.992	0.975	0.983	no	0.996	no	0.964	NO
YGL043W  	dst1      	meiotic recombination*	positive transcription elongation factor activity	nucleoplasm	NO	1.003	1.007	1.005	no	0.988	0.961	0.975	no	0.999	no	0.963	NO
YGL044C  	RNA15     	mRNA polyadenylation*	cleavage/polyadenylation specificity factor activity	mRNA cleavage factor complex	YES	ND	ND	ND	no	ND	ND	ND	Essential	ND	no	ND	Essential
YGL045W  	YGL045W   	meiosis*	molecular_function unknown	cellular_component unknown	NO	0.994	0.999	0.996	no	0.991	0.980	0.985	no	0.993	no	0.986	NO
YGL046W  	YGL046W   				NO	1.002	1.000	1.001	no	0.998	0.974	0.986	no	1.003	no	ND	NO
YGL047W  	YGL047W   	biological_process unknown	molecular_function unknown	endoplasmic reticulum	YES	1.000	0.941	0.970	no	ND	ND	ND	Essential	0.943	no	ND	Essential
